document_number,title,type,action,publication_date,effective_on,comments_close_on,agencies,docket_ids,html_url,pdf_url,has_full_text
2026-13003,Removing Obsolete References to Twentieth-Century Airman Certificates,Proposed Rule,Notice of proposed rulemaking.,2026-06-26,,2026-07-27,Transportation Department; Federal Aviation Administration,Docket No. FAA-2026-7163; Notice No. 26-10,https://www.federalregister.gov/documents/2026/06/26/2026-13003/removing-obsolete-references-to-twentieth-century-airman-certificates,https://www.govinfo.gov/content/pkg/FR-2026-06-26/pdf/2026-13003.pdf,True
2026-12995,Commission Meeting-Sunshine Act Notice,Notice,,2026-06-26,,,Equal Employment Opportunity Commission,,https://www.federalregister.gov/documents/2026/06/26/2026-12995/commission-meeting-sunshine-act-notice,https://www.govinfo.gov/content/pkg/FR-2026-06-26/pdf/2026-12995.pdf,True
2026-12989,Modernizing Security Requirements,Proposed Rule,Proposed rule and draft guidance; request for comment.,2026-06-26,,2026-07-27,Nuclear Regulatory Commission,PRM-26-4; PRM-26-7; PRM-26-8; NRC-2012-0079; and NRC-2025-1303,https://www.federalregister.gov/documents/2026/06/26/2026-12989/modernizing-security-requirements,https://www.govinfo.gov/content/pkg/FR-2026-06-26/pdf/2026-12989.pdf,True
2026-12983,Sunshine Act Meetings,Notice,,2026-06-26,,,Nuclear Regulatory Commission,NRC-2026-0001,https://www.federalregister.gov/documents/2026/06/26/2026-12983/sunshine-act-meetings,https://www.govinfo.gov/content/pkg/FR-2026-06-26/pdf/2026-12983.pdf,True
2026-12982,Notice of Determinations; Culturally Significant Object Being Imported for Exhibition-Determinations: “Georgia O'Keeffe Architecture” Exhibition,Notice,,2026-06-26,,,State Department,Public Notice: 13052,https://www.federalregister.gov/documents/2026/06/26/2026-12982/notice-of-determinations-culturally-significant-object-being-imported-for-exhibition-determinations,https://www.govinfo.gov/content/pkg/FR-2026-06-26/pdf/2026-12982.pdf,True
2026-12981,Federal Motor Vehicle Safety Standards; Modernization of FMVSS No. 135 To Accommodate ADS-Equipped Vehicles,Proposed Rule,Notice of proposed rulemaking.,2026-06-26,,2026-07-27,Transportation Department; National Highway Traffic Safety Administration,Docket No. NHTSA-2026-0728,https://www.federalregister.gov/documents/2026/06/26/2026-12981/federal-motor-vehicle-safety-standards-modernization-of-fmvss-no-135-to-accommodate-ads-equipped,https://www.govinfo.gov/content/pkg/FR-2026-06-26/pdf/2026-12981.pdf,True
2026-12980,"ADS-Equipped Vehicle Safety, Transparency, and Evaluation Program; Withdrawal",Proposed Rule,Notice of proposed rulemaking; withdrawal.,2026-06-26,,,Transportation Department; National Highway Traffic Safety Administration,Docket No. NHTSA-2024-0100,https://www.federalregister.gov/documents/2026/06/26/2026-12980/ads-equipped-vehicle-safety-transparency-and-evaluation-program-withdrawal,https://www.govinfo.gov/content/pkg/FR-2026-06-26/pdf/2026-12980.pdf,True
2026-12979,Agency Information Collection Activities: Request for Comments for a New Information Collection,Notice,Notice and request for comments.,2026-06-26,,2026-07-27,Transportation Department; Federal Highway Administration,Docket No. FHWA-2026-0760,https://www.federalregister.gov/documents/2026/06/26/2026-12979/agency-information-collection-activities-request-for-comments-for-a-new-information-collection,https://www.govinfo.gov/content/pkg/FR-2026-06-26/pdf/2026-12979.pdf,True
2026-12978,Meeting of the Regional Energy Resource Council,Notice,Notice of meeting.,2026-06-26,,2026-07-14,Tennessee Valley Authority,,https://www.federalregister.gov/documents/2026/06/26/2026-12978/meeting-of-the-regional-energy-resource-council,https://www.govinfo.gov/content/pkg/FR-2026-06-26/pdf/2026-12978.pdf,True
2026-12977,Agency Information Collection Activities: Proposed Collection; Comment Request Proposed Project: Request To Publish the 30-Day Notices in the Federal Register To Solicit Public Comment on Information Collection for the Continued Approval and Updates for the Protection and Advocacy for Individuals With Mental Illness (PAIMI)-Revised Annual Program Performance Report (PPR)-OMB No. 0930-0169- DECISION,Notice,,2026-06-26,,,Health and Human Services Department; Substance Abuse and Mental Health Services Administration,,https://www.federalregister.gov/documents/2026/06/26/2026-12977/agency-information-collection-activities-proposed-collection-comment-request-proposed-project,https://www.govinfo.gov/content/pkg/FR-2026-06-26/pdf/2026-12977.pdf,True
2026-12976,Uniform Allowances,Rule,Direct final rule; confirmation of effective date.,2026-06-26,2026-07-13,,Personnel Management Office,Docket ID: OPM-2026-0068,https://www.federalregister.gov/documents/2026/06/26/2026-12976/uniform-allowances,https://www.govinfo.gov/content/pkg/FR-2026-06-26/pdf/2026-12976.pdf,True
2026-12975,Agency Information Collection Activities: Submission for Office of Management and Budget Review (OMB); Comment Request,Notice,Notice.,2026-06-26,,,Health and Human Services Department; Substance Abuse and Mental Health Services Administration,,https://www.federalregister.gov/documents/2026/06/26/2026-12975/agency-information-collection-activities-submission-for-office-of-management-and-budget-review-omb,https://www.govinfo.gov/content/pkg/FR-2026-06-26/pdf/2026-12975.pdf,True
2026-12974,Privacy Act of 1974; System of Records,Notice,Notice of a modified system of records.,2026-06-26,2026-07-27,2026-07-27,Personnel Management Office,Docket ID: OPM-2026-0529,https://www.federalregister.gov/documents/2026/06/26/2026-12974/privacy-act-of-1974-system-of-records,https://www.govinfo.gov/content/pkg/FR-2026-06-26/pdf/2026-12974.pdf,True
2026-12973,Submission for OMB Review; Comment Request,Notice,,2026-06-26,,,Agriculture Department,,https://www.federalregister.gov/documents/2026/06/26/2026-12973/submission-for-omb-review-comment-request,https://www.govinfo.gov/content/pkg/FR-2026-06-26/pdf/2026-12973.pdf,True
2026-12972,Reopening or Extension of Application Deadline Dates; Applications for New Awards,Notice,Notice.,2026-06-26,,,Education Department,,https://www.federalregister.gov/documents/2026/06/26/2026-12972/reopening-or-extension-of-application-deadline-dates-applications-for-new-awards,https://www.govinfo.gov/content/pkg/FR-2026-06-26/pdf/2026-12972.pdf,True
2026-12971,Proposed Information Collection Activity; TANF Contingency Fund Application,Notice,Request for public comments.,2026-06-26,,2026-08-25,Health and Human Services Department; Children and Families Administration,,https://www.federalregister.gov/documents/2026/06/26/2026-12971/proposed-information-collection-activity-tanf-contingency-fund-application,https://www.govinfo.gov/content/pkg/FR-2026-06-26/pdf/2026-12971.pdf,True
2026-12970,"Aman Kaushik, Complainant v. SFL Worldwide LLC, Respondent; Notice of Filing of Complaint and Assignment",Notice,,2026-06-26,,,Federal Maritime Commission,Docket No. 26-10,https://www.federalregister.gov/documents/2026/06/26/2026-12970/aman-kaushik-complainant-v-sfl-worldwide-llc-respondent-notice-of-filing-of-complaint-and-assignment,https://www.govinfo.gov/content/pkg/FR-2026-06-26/pdf/2026-12970.pdf,True
2026-12969,HEARTH Act Approval of Caddo Nation of Oklahoma Leasing Ordinance,Notice,Notice.,2026-06-26,,,Interior Department; Indian Affairs Bureau,267A2100DD/AAKC001030/A0A501010.000000,https://www.federalregister.gov/documents/2026/06/26/2026-12969/hearth-act-approval-of-caddo-nation-of-oklahoma-leasing-ordinance,https://www.govinfo.gov/content/pkg/FR-2026-06-26/pdf/2026-12969.pdf,True
2026-12968,"HEARTH Act Approval of Cachil DeHe Band of Wintun Indians of the Colusa Indian Community of the Colusa Rancheria, California, Leasing Ordinance",Notice,Notice.,2026-06-26,,,Interior Department; Indian Affairs Bureau,267A2100DD/AAKC001030/A0A501010.000000,https://www.federalregister.gov/documents/2026/06/26/2026-12968/hearth-act-approval-of-cachil-dehe-band-of-wintun-indians-of-the-colusa-indian-community-of-the,https://www.govinfo.gov/content/pkg/FR-2026-06-26/pdf/2026-12968.pdf,True
2026-12967,Proposed Data Collection Submitted for Public Comment and Recommendations,Notice,Notice with comment period.,2026-06-26,,2026-08-25,Health and Human Services Department; Agency for Toxic Substances and Disease Registry,60Day-26-0057; Docket No. ATSDR-2026-0067,https://www.federalregister.gov/documents/2026/06/26/2026-12967/proposed-data-collection-submitted-for-public-comment-and-recommendations,https://www.govinfo.gov/content/pkg/FR-2026-06-26/pdf/2026-12967.pdf,True
2026-12966,Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Comment Request; William D. Ford Federal Direct Loan Program (Direct Loan Program) Promissory Notes and Related Forms,Notice,Notice.,2026-06-26,,2026-07-27,Education Department,Docket No.: ED-2026-SCC-1222,https://www.federalregister.gov/documents/2026/06/26/2026-12966/agency-information-collection-activities-submission-to-the-office-of-management-and-budget-for,https://www.govinfo.gov/content/pkg/FR-2026-06-26/pdf/2026-12966.pdf,True
2026-12965,Agency Information Collection Activities; Comment Request; Request for Title IV Reimbursement or Heightened Cash Monitoring 2 (HCM2),Notice,Notice.,2026-06-26,,2026-08-25,Education Department,Docket No.: ED-2026-SCC-2345,https://www.federalregister.gov/documents/2026/06/26/2026-12965/agency-information-collection-activities-comment-request-request-for-title-iv-reimbursement-or,https://www.govinfo.gov/content/pkg/FR-2026-06-26/pdf/2026-12965.pdf,True
2026-12964,"Agency Information Collection Activities; Comment Request; Federal Family Educational Loan Program (FFEL)-Administrative Requirements for States, Not-For-Profit Lenders, and Eligible Lenders Trustees",Notice,Notice.,2026-06-26,,2026-08-25,Education Department,Docket No.: ED-2026-SCC-2344,https://www.federalregister.gov/documents/2026/06/26/2026-12964/agency-information-collection-activities-comment-request-federal-family-educational-loan-program,https://www.govinfo.gov/content/pkg/FR-2026-06-26/pdf/2026-12964.pdf,True
