document_number,title,type,action,publication_date,effective_on,comments_close_on,agencies,docket_ids,html_url,pdf_url,has_full_text
2026-13639,Improvements to Rules on Recoupment of Benefit Overpayments,Proposed Rule,Proposed rule.,2026-07-06,,2026-09-04,Pension Benefit Guaranty Corporation,,https://www.federalregister.gov/documents/2026/07/06/2026-13639/improvements-to-rules-on-recoupment-of-benefit-overpayments,https://www.govinfo.gov/content/pkg/FR-2026-07-06/pdf/2026-13639.pdf,True
2026-13637,"Rescission of Guidelines on Affirmative Action Appropriate Under Title VII of the Civil Rights Act of 1964, as Amended",Rule,Final interpretive rule.,2026-07-06,2026-07-06,,Equal Employment Opportunity Commission,,https://www.federalregister.gov/documents/2026/07/06/2026-13637/rescission-of-guidelines-on-affirmative-action-appropriate-under-title-vii-of-the-civil-rights-act,https://www.govinfo.gov/content/pkg/FR-2026-07-06/pdf/2026-13637.pdf,True
2026-13631,Presidential Determination on Assistance to Venezuela Consistent With the Trafficking Victims Protection Act of 2000,Presidential Document,,2026-07-06,,,Executive Office of the President,,https://www.federalregister.gov/documents/2026/07/06/2026-13631/presidential-determination-on-assistance-to-venezuela-consistent-with-the-trafficking-victims,https://www.govinfo.gov/content/pkg/FR-2026-07-06/pdf/2026-13631.pdf,True
2026-13630,Atlantic Highly Migratory Species; Atlantic Bluefin Tuna Fisheries; Closure of the Angling Category Southern New England Area Trophy Fishery for 2026,Rule,Temporary rule; closure.,2026-07-06,2026-07-03,,Commerce Department; National Oceanic and Atmospheric Administration,Docket No. 220919-0193; RTID 0648-XF795,https://www.federalregister.gov/documents/2026/07/06/2026-13630/atlantic-highly-migratory-species-atlantic-bluefin-tuna-fisheries-closure-of-the-angling-category,https://www.govinfo.gov/content/pkg/FR-2026-07-06/pdf/2026-13630.pdf,True
2026-13626,Agency Information Collection Activities; Submission to the Office of Management and Budget (OMB) for Review and Approval; Comment Request; Request for Duty-Free Entry of Scientific Instrument or Apparatus,Notice,,2026-07-06,,,Commerce Department; International Trade Administration,,https://www.federalregister.gov/documents/2026/07/06/2026-13626/agency-information-collection-activities-submission-to-the-office-of-management-and-budget-omb-for,https://www.govinfo.gov/content/pkg/FR-2026-07-06/pdf/2026-13626.pdf,True
2026-13625,Agency Information Collection Activities; Submission to the Office of Management and Budget (OMB) for Review and Approval; Comment Request; Wage Mariner Hiring Portal,Notice,,2026-07-06,,,Commerce Department; National Oceanic and Atmospheric Administration,,https://www.federalregister.gov/documents/2026/07/06/2026-13625/agency-information-collection-activities-submission-to-the-office-of-management-and-budget-omb-for,https://www.govinfo.gov/content/pkg/FR-2026-07-06/pdf/2026-13625.pdf,True
2026-13624,Nondiscrimination in Federally Assisted Programs of NASA-Effectuation of Title VI of the Civil Rights Act of 1964,Rule,Final rule.,2026-07-06,2026-07-06,,National Aeronautics and Space Administration,NASA Document Number: NASA-26-029,https://www.federalregister.gov/documents/2026/07/06/2026-13624/nondiscrimination-in-federally-assisted-programs-of-nasa-effectuation-of-title-vi-of-the-civil,https://www.govinfo.gov/content/pkg/FR-2026-07-06/pdf/2026-13624.pdf,True
2026-13623,"United States et al. v. Live Nation Entertainment, Inc.; Proposed Final Judgment and Competitive Impact Statement",Notice,,2026-07-06,,,Justice Department; Antitrust Division,,https://www.federalregister.gov/documents/2026/07/06/2026-13623/united-states-et-al-v-live-nation-entertainment-inc-proposed-final-judgment-and-competitive-impact,https://www.govinfo.gov/content/pkg/FR-2026-07-06/pdf/2026-13623.pdf,True
2026-13622,60-Day Notice of Request for Revision of a Currently Approved Information Collection: OneRD Loan Guarantee Program,Notice,Notice and request for comments.,2026-07-06,,2026-09-04,Agriculture Department; Rural Utilities Service,Docket: RUS-26-AGENCY-0133,https://www.federalregister.gov/documents/2026/07/06/2026-13622/60-day-notice-of-request-for-revision-of-a-currently-approved-information-collection-onerd-loan,https://www.govinfo.gov/content/pkg/FR-2026-07-06/pdf/2026-13622.pdf,True
2026-13621,Agency Information Collection Activities: Submission for OMB Review; Comment Request,Notice,,2026-07-06,,,Health and Human Services Department; Substance Abuse and Mental Health Services Administration,,https://www.federalregister.gov/documents/2026/07/06/2026-13621/agency-information-collection-activities-submission-for-omb-review-comment-request,https://www.govinfo.gov/content/pkg/FR-2026-07-06/pdf/2026-13621.pdf,True
2026-13620,"Amendment of Using Agency and Controlling Agency for Restricted Areas R-5301, R-5302A, R-5302B, and R-5302C; NC",Rule,Final rule.,2026-07-06,2026-07-09,,Transportation Department; Federal Aviation Administration,Docket No. FAA-2026-7162; Airspace Docket No. 26-ASO-10,https://www.federalregister.gov/documents/2026/07/06/2026-13620/amendment-of-using-agency-and-controlling-agency-for-restricted-areas-r-5301-r-5302a-r-5302b-and,https://www.govinfo.gov/content/pkg/FR-2026-07-06/pdf/2026-13620.pdf,True
2026-13619,"Safety Zone; Lake Michigan, Chicago, IL",Rule,Temporary final rule.,2026-07-06,2026-07-10,,Homeland Security Department; Coast Guard,Docket Number USCG-2026-0810,https://www.federalregister.gov/documents/2026/07/06/2026-13619/safety-zone-lake-michigan-chicago-il,https://www.govinfo.gov/content/pkg/FR-2026-07-06/pdf/2026-13619.pdf,True
2026-13618,Submission for OMB Review; Comment Request,Notice,,2026-07-06,,,Agriculture Department,,https://www.federalregister.gov/documents/2026/07/06/2026-13618/submission-for-omb-review-comment-request,https://www.govinfo.gov/content/pkg/FR-2026-07-06/pdf/2026-13618.pdf,True
2026-13617,New Postal Products,Notice,Notice.,2026-07-06,,2026-07-08,Postal Regulatory Commission,Docket Nos. MC2026-287 and K2026-284; MC2026-288 and K2026-285,https://www.federalregister.gov/documents/2026/07/06/2026-13617/new-postal-products,https://www.govinfo.gov/content/pkg/FR-2026-07-06/pdf/2026-13617.pdf,True
2026-13616,"Endo Operations Limited, et al.; Withdrawal of Approval of 34 New Drug Applications",Notice,Notice.,2026-07-06,,,Health and Human Services Department; Food and Drug Administration,Docket No. FDA-2026-N-6809,https://www.federalregister.gov/documents/2026/07/06/2026-13616/endo-operations-limited-et-al-withdrawal-of-approval-of-34-new-drug-applications,https://www.govinfo.gov/content/pkg/FR-2026-07-06/pdf/2026-13616.pdf,True
2026-13615,Draft Guidance for Reducing Risk From Perfluorooctanoic Acid (PFOA) and Perfluorooctane Sulfonic Acid (PFOS) in Biosolids; Establishment of a Public Docket; Request for Feedback,Notice,Notice of availability of draft guidance and request for comment.,2026-07-06,,2026-09-04,Environmental Protection Agency,EPA-HQ-OW-2026-2509; FRL-13318-01-OW,https://www.federalregister.gov/documents/2026/07/06/2026-13615/draft-guidance-for-reducing-risk-from-perfluorooctanoic-acid-pfoa-and-perfluorooctane-sulfonic-acid,https://www.govinfo.gov/content/pkg/FR-2026-07-06/pdf/2026-13615.pdf,True
2026-13614,"Safety Zone; Savannah River, Savannah, GA",Rule,Temporary final rule.,2026-07-06,2026-07-06,,Homeland Security Department; Coast Guard,Docket Number USCG-2026-0805,https://www.federalregister.gov/documents/2026/07/06/2026-13614/safety-zone-savannah-river-savannah-ga,https://www.govinfo.gov/content/pkg/FR-2026-07-06/pdf/2026-13614.pdf,True
2026-13613,Arts Advisory Panel Meetings,Notice,Notice of meetings.,2026-07-06,,,National Foundation on the Arts and the Humanities; National Endowment for the Arts,,https://www.federalregister.gov/documents/2026/07/06/2026-13613/arts-advisory-panel-meetings,https://www.govinfo.gov/content/pkg/FR-2026-07-06/pdf/2026-13613.pdf,True
2026-13612,Center for Scientific Review; Notice of Closed Meetings,Notice,,2026-07-06,,,Health and Human Services Department; National Institutes of Health,,https://www.federalregister.gov/documents/2026/07/06/2026-13612/center-for-scientific-review-notice-of-closed-meetings,https://www.govinfo.gov/content/pkg/FR-2026-07-06/pdf/2026-13612.pdf,True
2026-13611,Petition for Reconsideration of Action in Rulemaking Proceeding,Proposed Rule,Petition for reconsideration.,2026-07-06,,,Federal Communications Commission,SB Docket No. 25-157; Report No. 3234; FR ID 353423,https://www.federalregister.gov/documents/2026/07/06/2026-13611/petition-for-reconsideration-of-action-in-rulemaking-proceeding,https://www.govinfo.gov/content/pkg/FR-2026-07-06/pdf/2026-13611.pdf,True
2026-13610,Diamond Sawblades and Parts Thereof From China; Scheduling of an Expedited Five-Year Review,Notice,Notice.,2026-07-06,,,International Trade Commission,Investigation No. 731-TA-1092 (Third Review),https://www.federalregister.gov/documents/2026/07/06/2026-13610/diamond-sawblades-and-parts-thereof-from-china-scheduling-of-an-expedited-five-year-review,https://www.govinfo.gov/content/pkg/FR-2026-07-06/pdf/2026-13610.pdf,True
2026-13609,"Counter-UAS Authority for State, Local, Tribal, and Territorial Law Enforcement and Correctional Agencies",Rule,Interim final rule; request for comment.,2026-07-06,2026-07-01,,Homeland Security Department; Justice Department,Docket No. FBI-2026-0001,https://www.federalregister.gov/documents/2026/07/06/2026-13609/counter-uas-authority-for-state-local-tribal-and-territorial-law-enforcement-and-correctional,https://www.govinfo.gov/content/pkg/FR-2026-07-06/pdf/2026-13609.pdf,True
2026-13608,Temporary Placement of 7-Hydroxymitragynine Above a Specified Threshold in Schedule I; Request for Information,Notice,Notice; request for information; establishment of a public docket.,2026-07-06,,2026-07-31,Health and Human Services Department,Docket No. HHS-OASH-2026-0232,https://www.federalregister.gov/documents/2026/07/06/2026-13608/temporary-placement-of-7-hydroxymitragynine-above-a-specified-threshold-in-schedule-i-request-for,https://www.govinfo.gov/content/pkg/FR-2026-07-06/pdf/2026-13608.pdf,True
2026-13607,Certain Corrosion-Resistant Steel Products From the People's Republic of China: Initiation of Circumvention Inquiry on the Antidumping and Countervailing Duty Orders,Notice,,2026-07-06,,,Commerce Department; International Trade Administration,"A-570-026, C-570-027",https://www.federalregister.gov/documents/2026/07/06/2026-13607/certain-corrosion-resistant-steel-products-from-the-peoples-republic-of-china-initiation-of,https://www.govinfo.gov/content/pkg/FR-2026-07-06/pdf/2026-13607.pdf,True
2026-13606,Information Collection Request; General Program Administration,Notice,Notice; request for comment.,2026-07-06,,2026-09-04,Agriculture Department; Farm Service Agency,Docket ID: FSA-2026-0430,https://www.federalregister.gov/documents/2026/07/06/2026-13606/information-collection-request-general-program-administration,https://www.govinfo.gov/content/pkg/FR-2026-07-06/pdf/2026-13606.pdf,True
2026-13605,Foreign Gifts and Contracts Disclosures; Correction,Notice,Correction Notice.,2026-07-06,,2026-07-29,Education Department,Docket No.: ED-2026-SCC-1354,https://www.federalregister.gov/documents/2026/07/06/2026-13605/foreign-gifts-and-contracts-disclosures-correction,https://www.govinfo.gov/content/pkg/FR-2026-07-06/pdf/2026-13605.pdf,True
