document_number,title,type,action,publication_date,effective_on,comments_close_on,agencies,docket_ids,html_url,pdf_url,has_full_text
2026-19555,Enhancing Program Integrity and Interagency Coordination in the Administration of the H-1B Nonimmigrant Visa Program,Presidential Document,,2026-09-23,,,Executive Office of the President,,https://www.federalregister.gov/documents/2026/09/23/2026-19555/enhancing-program-integrity-and-interagency-coordination-in-the-administration-of-the-h-1b,https://www.govinfo.gov/content/pkg/FR-2026-09-23/pdf/2026-19555.pdf,True
2026-19554,Restriction on Entry of Certain Nonimmigrant Workers,Presidential Document,,2026-09-23,,,Executive Office of the President,,https://www.federalregister.gov/documents/2026/09/23/2026-19554/restriction-on-entry-of-certain-nonimmigrant-workers,https://www.govinfo.gov/content/pkg/FR-2026-09-23/pdf/2026-19554.pdf,True
2026-19500,Public Water System Supervision Program Revision for the State of Arkansas,Proposed Rule,Notice of tentative approval and solicitation of requests for a public hearing.,2026-09-23,,2026-10-23,Environmental Protection Agency,FRL-13495-01-R6,https://www.federalregister.gov/documents/2026/09/23/2026-19500/public-water-system-supervision-program-revision-for-the-state-of-arkansas,https://www.govinfo.gov/content/pkg/FR-2026-09-23/pdf/2026-19500.pdf,True
2026-19498,Guidance and Procedures for Implementing Tariff Adjustments for Specialty Pharmaceuticals and Associated Pharmaceutical Ingredients and Technical Corrections to the Harmonized Tariff Schedule of the United States for Duties Imposed Under Proclamation 11020,Notice,Notice.,2026-09-23,,,Commerce Department; Industry and Security Bureau,Docket No. 260918-0006,https://www.federalregister.gov/documents/2026/09/23/2026-19498/guidance-and-procedures-for-implementing-tariff-adjustments-for-specialty-pharmaceuticals-and,https://www.govinfo.gov/content/pkg/FR-2026-09-23/pdf/2026-19498.pdf,True
2026-19495,Air Plan Approval; North Carolina; Charlotte-Rock Hill Area Maintenance Plan for the 2008 8-Hour Ozone NAAQS,Proposed Rule,Proposed rule.,2026-09-23,,2026-10-23,Environmental Protection Agency,EPA-R04-OAR-2025-0223; FRL-13259-01-R4,https://www.federalregister.gov/documents/2026/09/23/2026-19495/air-plan-approval-north-carolina-charlotte-rock-hill-area-maintenance-plan-for-the-2008-8-hour-ozone,https://www.govinfo.gov/content/pkg/FR-2026-09-23/pdf/2026-19495.pdf,True
2026-19493,Patient Protection and Affordable Care Act; Temporary Moratoria on Certain Agent and Broker Registration To Participate in the Exchanges,Rule,Interim final rule with comment period.,2026-09-23,2026-09-22,,Health and Human Services Department,CMS-9872-IFC,https://www.federalregister.gov/documents/2026/09/23/2026-19493/patient-protection-and-affordable-care-act-temporary-moratoria-on-certain-agent-and-broker,https://www.govinfo.gov/content/pkg/FR-2026-09-23/pdf/2026-19493.pdf,True
2026-19488,Notice of OFAC Sanctions Action,Notice,Notice.,2026-09-23,,,Treasury Department; Foreign Assets Control Office,,https://www.federalregister.gov/documents/2026/09/23/2026-19488/notice-of-ofac-sanctions-action,https://www.govinfo.gov/content/pkg/FR-2026-09-23/pdf/2026-19488.pdf,True
2026-19487,"Notice of Intended Repatriation: Virginia Museum of Fine Arts, Richmond, VA",Notice,Notice.,2026-09-23,,,Interior Department; National Park Service,N7508; NPS-WASO-NAGPRA-NPS0043798; PPWOCRADN0-PCU00RP14.R50000,https://www.federalregister.gov/documents/2026/09/23/2026-19487/notice-of-intended-repatriation-virginia-museum-of-fine-arts-richmond-va,https://www.govinfo.gov/content/pkg/FR-2026-09-23/pdf/2026-19487.pdf,True
2026-19486,"Notice of Intended Repatriation: University of Minnesota, Minneapolis, MN",Notice,Notice.,2026-09-23,,,Interior Department; National Park Service,N7536; NPS-WASO-NAGPRA-NPS0043837; PPWOCRADN0-PCU00RP14.R50000,https://www.federalregister.gov/documents/2026/09/23/2026-19486/notice-of-intended-repatriation-university-of-minnesota-minneapolis-mn,https://www.govinfo.gov/content/pkg/FR-2026-09-23/pdf/2026-19486.pdf,True
2026-19485,"Notice of Inventory Completion: Auburn University at Montgomery, Montgomery, AL",Notice,Notice.,2026-09-23,,,Interior Department; National Park Service,N7523; NPS-WASO-NAGPRA-NPS0043827; PPWOCRADN0-PCU00RP14.R50000,https://www.federalregister.gov/documents/2026/09/23/2026-19485/notice-of-inventory-completion-auburn-university-at-montgomery-montgomery-al,https://www.govinfo.gov/content/pkg/FR-2026-09-23/pdf/2026-19485.pdf,True
2026-19484,"Notice of Inventory Completion: Auburn University at Montgomery, Montgomery, AL",Notice,Notice.,2026-09-23,,,Interior Department; National Park Service,N7522; NPS-WASO-NAGPRA-NPS0043826; PPWOCRADN0-PCU00RP14.R50000,https://www.federalregister.gov/documents/2026/09/23/2026-19484/notice-of-inventory-completion-auburn-university-at-montgomery-montgomery-al,https://www.govinfo.gov/content/pkg/FR-2026-09-23/pdf/2026-19484.pdf,True
2026-19483,"Notice of Inventory Completion: Auburn University at Montgomery, Montgomery, AL",Notice,Notice.,2026-09-23,,,Interior Department; National Park Service,N7521; NPS-WASO-NAGPRA-NPS0043825; PPWOCRADN0-PCU00RP14.R50000,https://www.federalregister.gov/documents/2026/09/23/2026-19483/notice-of-inventory-completion-auburn-university-at-montgomery-montgomery-al,https://www.govinfo.gov/content/pkg/FR-2026-09-23/pdf/2026-19483.pdf,True
2026-19482,"Notice of Inventory Completion: Auburn University at Montgomery, Montgomery, AL",Notice,Notice.,2026-09-23,,,Interior Department; National Park Service,N7520; NPS-WASO-NAGPRA-NPS0043824; PPWOCRADN0-PCU00RP14.R50000,https://www.federalregister.gov/documents/2026/09/23/2026-19482/notice-of-inventory-completion-auburn-university-at-montgomery-montgomery-al,https://www.govinfo.gov/content/pkg/FR-2026-09-23/pdf/2026-19482.pdf,True
2026-19481,"Notice of Inventory Completion: Auburn University at Montgomery, Montgomery, AL",Notice,Notice.,2026-09-23,,,Interior Department; National Park Service,N7519; NPS-WASO-NAGPRA-NPS0043823; PPWOCRADN0-PCU00RP14.R50000,https://www.federalregister.gov/documents/2026/09/23/2026-19481/notice-of-inventory-completion-auburn-university-at-montgomery-montgomery-al,https://www.govinfo.gov/content/pkg/FR-2026-09-23/pdf/2026-19481.pdf,True
2026-19480,"Notice of Inventory Completion: Auburn University at Montgomery, Montgomery, AL",Notice,Notice.,2026-09-23,,,Interior Department; National Park Service,N7518; NPS-WASO-NAGPRA-NPS0043822; PPWOCRADN0-PCU00RP14.R50000,https://www.federalregister.gov/documents/2026/09/23/2026-19480/notice-of-inventory-completion-auburn-university-at-montgomery-montgomery-al,https://www.govinfo.gov/content/pkg/FR-2026-09-23/pdf/2026-19480.pdf,True
2026-19479,"Notice of Inventory Completion: Auburn University at Montgomery, Montgomery, AL",Notice,Notice.,2026-09-23,,,Interior Department; National Park Service,N7516; NPS-WASO-NAGPRA-NPS0043821; PPWOCRADN0-PCU00RP14.R50000,https://www.federalregister.gov/documents/2026/09/23/2026-19479/notice-of-inventory-completion-auburn-university-at-montgomery-montgomery-al,https://www.govinfo.gov/content/pkg/FR-2026-09-23/pdf/2026-19479.pdf,True
2026-19478,"Notice of Inventory Completion: Auburn University at Montgomery, Montgomery, AL",Notice,Notice.,2026-09-23,,,Interior Department; National Park Service,N7515; NPS-WASO-NAGPRA-NPS0043820; PPWOCRADN0-PCU00RP14.R50000,https://www.federalregister.gov/documents/2026/09/23/2026-19478/notice-of-inventory-completion-auburn-university-at-montgomery-montgomery-al,https://www.govinfo.gov/content/pkg/FR-2026-09-23/pdf/2026-19478.pdf,True
