document_number,title,type,action,publication_date,effective_on,comments_close_on,agencies,docket_ids,html_url,pdf_url,has_full_text
2026-17056,Airworthiness Directives; The Boeing Company Airplanes,Proposed Rule,Notice of proposed rulemaking (NPRM).,2026-08-20,,2026-10-05,Transportation Department; Federal Aviation Administration,Docket No. FAA-2026-8784; Project Identifier AD-2026-00202-T,https://www.federalregister.gov/documents/2026/08/20/2026-17056/airworthiness-directives-the-boeing-company-airplanes,https://www.govinfo.gov/content/pkg/FR-2026-08-20/pdf/2026-17056.pdf,True
2026-17046,Certain Wireless Communications Devices and Components Thereof; Notice of Request for Submissions on the Public Interest,Notice,Notice.,2026-08-20,,,International Trade Commission,Investigation No. 337-TA-1429,https://www.federalregister.gov/documents/2026/08/20/2026-17046/certain-wireless-communications-devices-and-components-thereof-notice-of-request-for-submissions-on,https://www.govinfo.gov/content/pkg/FR-2026-08-20/pdf/2026-17046.pdf,True
2026-17044,Codex Alimentarius Commission: Meeting of the Codex Committee on Milk and Milk Products,Notice,Notice of public meeting and request for comments.,2026-08-20,,,Agriculture Department; U.S. Codex Office,,https://www.federalregister.gov/documents/2026/08/20/2026-17044/codex-alimentarius-commission-meeting-of-the-codex-committee-on-milk-and-milk-products,https://www.govinfo.gov/content/pkg/FR-2026-08-20/pdf/2026-17044.pdf,True
2026-17043,Agency Forms Undergoing Paperwork Reduction Act Review,Notice,,2026-08-20,,,Health and Human Services Department; Centers for Disease Control and Prevention,30Day-26-1193,https://www.federalregister.gov/documents/2026/08/20/2026-17043/agency-forms-undergoing-paperwork-reduction-act-review,https://www.govinfo.gov/content/pkg/FR-2026-08-20/pdf/2026-17043.pdf,True
2026-17042,Small Business Size Standards,Proposed Rule,Proposed rule.,2026-08-20,,2026-09-21,Small Business Administration,,https://www.federalregister.gov/documents/2026/08/20/2026-17042/small-business-size-standards,https://www.govinfo.gov/content/pkg/FR-2026-08-20/pdf/2026-17042.pdf,True
2026-17041,Codex Alimentarius Commission: Meeting of the Codex Committee on Contaminants in Foods (CCCF),Notice,Notice of public meeting and request for comments.,2026-08-20,,,Agriculture Department; U.S. Codex Office,,https://www.federalregister.gov/documents/2026/08/20/2026-17041/codex-alimentarius-commission-meeting-of-the-codex-committee-on-contaminants-in-foods-cccf,https://www.govinfo.gov/content/pkg/FR-2026-08-20/pdf/2026-17041.pdf,True
2026-17040,Proposed Data Collection Submitted for Public Comment and Recommendations,Notice,Notice with comment period.,2026-08-20,,2026-10-19,Health and Human Services Department; Centers for Disease Control and Prevention,60Day-26-0214; Docket No. CDC-2026-1387,https://www.federalregister.gov/documents/2026/08/20/2026-17040/proposed-data-collection-submitted-for-public-comment-and-recommendations,https://www.govinfo.gov/content/pkg/FR-2026-08-20/pdf/2026-17040.pdf,True
2026-17039,Small Business Size Standards: Revised Size Standards Methodology,Proposed Rule,Notice of availability of Revised Size Standards Methodology for comments.,2026-08-20,,2026-09-21,Small Business Administration,,https://www.federalregister.gov/documents/2026/08/20/2026-17039/small-business-size-standards-revised-size-standards-methodology,https://www.govinfo.gov/content/pkg/FR-2026-08-20/pdf/2026-17039.pdf,True
2026-17038,Initiation of Antidumping and Countervailing Duty Administrative Reviews; Correction,Notice,Notice; correction.,2026-08-20,,,Commerce Department; International Trade Administration,,https://www.federalregister.gov/documents/2026/08/20/2026-17038/initiation-of-antidumping-and-countervailing-duty-administrative-reviews-correction,https://www.govinfo.gov/content/pkg/FR-2026-08-20/pdf/2026-17038.pdf,True
2026-17037,Proposed Data Collection Submitted for Public Comment and Recommendations,Notice,Notice with comment period.,2026-08-20,,2026-10-19,Health and Human Services Department; Centers for Disease Control and Prevention,60Day-26-1461; Docket No. CDC-2026-1420,https://www.federalregister.gov/documents/2026/08/20/2026-17037/proposed-data-collection-submitted-for-public-comment-and-recommendations,https://www.govinfo.gov/content/pkg/FR-2026-08-20/pdf/2026-17037.pdf,True
