document_number,title,type,action,publication_date,effective_on,comments_close_on,agencies,docket_ids,html_url,pdf_url,has_full_text
2026-14195,Rescinding the Definition of “Harm” Under the Endangered Species Act,Rule,Final rule.,2026-07-14,2026-09-14,,Interior Department; Fish and Wildlife Service; Commerce Department; National Oceanic and Atmospheric Administration,Docket No. FWS-HQ-ES-2025-0034; FXES11160900000-267-FF09E23000; Docket No. NMFS-250411-0064,https://www.federalregister.gov/documents/2026/07/14/2026-14195/rescinding-the-definition-of-harm-under-the-endangered-species-act,https://www.govinfo.gov/content/pkg/FR-2026-07-14/pdf/2026-14195.pdf,True
2026-14193,Pipeline Safety: Crimson Pipeline LP's Petition for Declaratory Order Regarding the Requirements for Baseline Integrity Assessments,Proposed Rule,Notice.,2026-07-14,,2026-08-13,Transportation Department; Pipeline and Hazardous Materials Safety Administration,Docket No. PHMSA-2026-2477,https://www.federalregister.gov/documents/2026/07/14/2026-14193/pipeline-safety-crimson-pipeline-lps-petition-for-declaratory-order-regarding-the-requirements-for,https://www.govinfo.gov/content/pkg/FR-2026-07-14/pdf/2026-14193.pdf,True
2026-14161,Certification of Signal Employees; Extension of Comment Period,Proposed Rule,Notice of proposed rulemaking (NPRM); extension of comment period.,2026-07-14,2026-05-15,2026-08-13,Transportation Department; Federal Railroad Administration,"Docket No. FRA-2022-0020, Notice No. 6",https://www.federalregister.gov/documents/2026/07/14/2026-14161/certification-of-signal-employees-extension-of-comment-period,https://www.govinfo.gov/content/pkg/FR-2026-07-14/pdf/2026-14161.pdf,True
2026-14160,Certification of Dispatchers; Extension of Comment Period,Proposed Rule,Notice of proposed rulemaking (NPRM); extension of comment period.,2026-07-14,2026-05-15,2026-08-13,Transportation Department; Federal Railroad Administration,"Docket No. FRA-2022-0019, Notice No. 6",https://www.federalregister.gov/documents/2026/07/14/2026-14160/certification-of-dispatchers-extension-of-comment-period,https://www.govinfo.gov/content/pkg/FR-2026-07-14/pdf/2026-14160.pdf,True
2026-14159,Agency Information Collection Activities; Comment Request; eZ-Audit: Electronic Submission of Financial Statements and Compliance Audits,Notice,Notice.,2026-07-14,,2026-09-14,Education Department,Docket No.: ED-2026-SCC-2476,https://www.federalregister.gov/documents/2026/07/14/2026-14159/agency-information-collection-activities-comment-request-ez-audit-electronic-submission-of-financial,https://www.govinfo.gov/content/pkg/FR-2026-07-14/pdf/2026-14159.pdf,True
2026-14158,Psychedelic Drugs: Considerations for Clinical Investigations; Guidance for Industry; Availability,Notice,Notice of availability.,2026-07-14,,,Health and Human Services Department; Food and Drug Administration,Docket No. FDA-2023-D-1987,https://www.federalregister.gov/documents/2026/07/14/2026-14158/psychedelic-drugs-considerations-for-clinical-investigations-guidance-for-industry-availability,https://www.govinfo.gov/content/pkg/FR-2026-07-14/pdf/2026-14158.pdf,True
2026-14157,Hazardous Materials: Notice of Applications for Modification to Special Permits,Notice,List of applications for modification of special permits.,2026-07-14,,2026-07-29,Transportation Department; Pipeline and Hazardous Materials Safety Administration,,https://www.federalregister.gov/documents/2026/07/14/2026-14157/hazardous-materials-notice-of-applications-for-modification-to-special-permits,https://www.govinfo.gov/content/pkg/FR-2026-07-14/pdf/2026-14157.pdf,True
2026-14156,Hazardous Materials: Notice of Actions on Special Permits,Notice,Notice of actions on special permit applications.,2026-07-14,,2026-08-13,Transportation Department; Pipeline and Hazardous Materials Safety Administration,,https://www.federalregister.gov/documents/2026/07/14/2026-14156/hazardous-materials-notice-of-actions-on-special-permits,https://www.govinfo.gov/content/pkg/FR-2026-07-14/pdf/2026-14156.pdf,True
2026-14155,Considerations for Potential Future Therapeutic Use of Psychedelic Drugs; Public Hearing; Request for Comments,Notice,Public hearing; request for comments.,2026-07-14,,,Health and Human Services Department; Food and Drug Administration,Docket No. FDA-2026-N-7542,https://www.federalregister.gov/documents/2026/07/14/2026-14155/considerations-for-potential-future-therapeutic-use-of-psychedelic-drugs-public-hearing-request-for,https://www.govinfo.gov/content/pkg/FR-2026-07-14/pdf/2026-14155.pdf,True
2026-14154,Hazardous Materials: Notice of Applications for New Special Permits,Notice,List of applications for special permits.,2026-07-14,,2026-08-13,Transportation Department; Pipeline and Hazardous Materials Safety Administration,,https://www.federalregister.gov/documents/2026/07/14/2026-14154/hazardous-materials-notice-of-applications-for-new-special-permits,https://www.govinfo.gov/content/pkg/FR-2026-07-14/pdf/2026-14154.pdf,True
2026-14153,Agency Information Collection Activities; Comment Request; Campus Safety and Security Survey,Notice,Notice.,2026-07-14,,2026-09-14,Education Department,Docket No.: ED-2026-SCC-2509,https://www.federalregister.gov/documents/2026/07/14/2026-14153/agency-information-collection-activities-comment-request-campus-safety-and-security-survey,https://www.govinfo.gov/content/pkg/FR-2026-07-14/pdf/2026-14153.pdf,True
2026-14152,Minor Modification Approval,Notice,Notice.,2026-07-14,,,Susquehanna River Basin Commission,,https://www.federalregister.gov/documents/2026/07/14/2026-14152/minor-modification-approval,https://www.govinfo.gov/content/pkg/FR-2026-07-14/pdf/2026-14152.pdf,True
2026-14151,Projects Approved for Consumptive Uses of Water,Notice,Notice.,2026-07-14,,,Susquehanna River Basin Commission,,https://www.federalregister.gov/documents/2026/07/14/2026-14151/projects-approved-for-consumptive-uses-of-water,https://www.govinfo.gov/content/pkg/FR-2026-07-14/pdf/2026-14151.pdf,True
2026-14150,Grandfathering Registration Notice,Notice,Notice.,2026-07-14,,,Susquehanna River Basin Commission,,https://www.federalregister.gov/documents/2026/07/14/2026-14150/grandfathering-registration-notice,https://www.govinfo.gov/content/pkg/FR-2026-07-14/pdf/2026-14150.pdf,True
2026-14149,Crepe Paper From China; Determination,Notice,,2026-07-14,,,International Trade Commission,Investigation No. 731-TA-1070A (Fourth Review),https://www.federalregister.gov/documents/2026/07/14/2026-14149/crepe-paper-from-china-determination,https://www.govinfo.gov/content/pkg/FR-2026-07-14/pdf/2026-14149.pdf,True
2026-14148,"Notice of Availability, Notice of Public Comment Period, and Request for Comment on the Draft Tiered Environmental Assessment for SpaceX Starship Reentry Contingency Operations in the Pacific Ocean and Additional Starship Landing Trajectory",Notice,Notice of availability and public comment period.,2026-07-14,,2026-07-27,Transportation Department; Federal Aviation Administration,Docket No. FAA-2026-6968,https://www.federalregister.gov/documents/2026/07/14/2026-14148/notice-of-availability-notice-of-public-comment-period-and-request-for-comment-on-the-draft-tiered,https://www.govinfo.gov/content/pkg/FR-2026-07-14/pdf/2026-14148.pdf,True
2026-14147,Operating Limitations at Chicago O'Hare International Airport,Notice,Extension to order.,2026-07-14,2026-10-25,,Transportation Department; Federal Aviation Administration,,https://www.federalregister.gov/documents/2026/07/14/2026-14147/operating-limitations-at-chicago-ohare-international-airport,https://www.govinfo.gov/content/pkg/FR-2026-07-14/pdf/2026-14147.pdf,True
2026-14146,"Request for Information, Training and Care Delivery Models for Safe Administration of Potential FDA-Approved Psychedelic Therapies in Ambulatory Clinical Settings",Notice,"Notice, request for information.",2026-07-14,,2026-08-13,Health and Human Services Department; ,,https://www.federalregister.gov/documents/2026/07/14/2026-14146/request-for-information-training-and-care-delivery-models-for-safe-administration-of-potential,https://www.govinfo.gov/content/pkg/FR-2026-07-14/pdf/2026-14146.pdf,True
2026-14145,Certain Steel Nails From the Sultanate of Oman: Final Results of Antidumping Duty Administrative Review; 2023-2024,Notice,,2026-07-14,,,Commerce Department; International Trade Administration,A-523-808,https://www.federalregister.gov/documents/2026/07/14/2026-14145/certain-steel-nails-from-the-sultanate-of-oman-final-results-of-antidumping-duty-administrative,https://www.govinfo.gov/content/pkg/FR-2026-07-14/pdf/2026-14145.pdf,True
2026-14144,Notice of Public Meetings of the Michigan Advisory Committee to the U.S. Commission on Civil Rights,Notice,Notice of virtual committee meetings.,2026-07-14,,,Civil Rights Commission,,https://www.federalregister.gov/documents/2026/07/14/2026-14144/notice-of-public-meetings-of-the-michigan-advisory-committee-to-the-us-commission-on-civil-rights,https://www.govinfo.gov/content/pkg/FR-2026-07-14/pdf/2026-14144.pdf,True
2026-14143,Notice of Public Meeting of the Virginia Advisory Committee to the U.S. Commission on Civil Rights,Notice,Notice of virtual business meeting.,2026-07-14,,,Civil Rights Commission,,https://www.federalregister.gov/documents/2026/07/14/2026-14143/notice-of-public-meeting-of-the-virginia-advisory-committee-to-the-us-commission-on-civil-rights,https://www.govinfo.gov/content/pkg/FR-2026-07-14/pdf/2026-14143.pdf,True
