document_number,title,type,action,publication_date,effective_on,comments_close_on,agencies,docket_ids,html_url,pdf_url,has_full_text
C1-2026-07235,Arms Sales Notification,Notice,,2026-06-15,,,Defense Department; ,Transmittal No. 25-1N,https://www.federalregister.gov/documents/2026/06/15/C1-2026-07235/arms-sales-notification,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/C1-2026-07235.pdf,True
2026-12019,International Traffic in Arms Regulations (ITAR): Part 130 Changes To Reduce Reporting Burden,Proposed Rule,Proposed rule.,2026-06-15,,2026-08-14,State Department,Public Notice: 13021,https://www.federalregister.gov/documents/2026/06/15/2026-12019/international-traffic-in-arms-regulations-itar-part-130-changes-to-reduce-reporting-burden,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-12019.pdf,True
2026-12011,Miscellaneous Rules Relating to Common Carriers,Rule,,2026-06-15,,,Federal Communications Commission,,https://www.federalregister.gov/documents/2026/06/15/2026-12011/miscellaneous-rules-relating-to-common-carriers,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-12011.pdf,True
2026-12008,Accrediting Agency Currently Undergoing Review for the Purpose of Recognition by the U.S. Secretary of Education,Notice,Call for written third-party comments.,2026-06-15,,,Education Department,,https://www.federalregister.gov/documents/2026/06/15/2026-12008/accrediting-agency-currently-undergoing-review-for-the-purpose-of-recognition-by-the-us-secretary-of,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-12008.pdf,True
2026-12007,Meeting of Humanities Panel,Notice,Notice of meeting.,2026-06-15,,,National Foundation on the Arts and the Humanities; National Endowment for the Humanities,,https://www.federalregister.gov/documents/2026/06/15/2026-12007/meeting-of-humanities-panel,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-12007.pdf,True
2026-12006,Whistleblower Award Determination,Proposed Rule,Proposed rule.,2026-06-15,,2026-07-15,Commodity Futures Trading Commission,,https://www.federalregister.gov/documents/2026/06/15/2026-12006/whistleblower-award-determination,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-12006.pdf,True
2026-12005,Privacy Act of 1974; System of Records,Notice,Notice of a modified system of records.,2026-06-15,,,Agriculture Department; Food and Nutrition Administration,,https://www.federalregister.gov/documents/2026/06/15/2026-12005/privacy-act-of-1974-system-of-records,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-12005.pdf,True
2026-12004,Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Comment Request; Student Assistance General Provision-Subpart E-Verification Student Aid Application Information,Notice,Notice.,2026-06-15,,2026-07-15,Education Department,Docket No.: ED-2026-SCC-0531,https://www.federalregister.gov/documents/2026/06/15/2026-12004/agency-information-collection-activities-submission-to-the-office-of-management-and-budget-for,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-12004.pdf,True
2026-12003,Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Comment Request; FY 2026 Child Care Access Means Parents in School Annual Performance Report Package 84.335A,Notice,Notice.,2026-06-15,,2026-07-15,Education Department,Docket No.: ED-2026-SCC-0892,https://www.federalregister.gov/documents/2026/06/15/2026-12003/agency-information-collection-activities-submission-to-the-office-of-management-and-budget-for,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-12003.pdf,True
2026-12002,Agency Information Collection Activities; Comment Request; Talent Search (TS) Annual Performance Report,Notice,Notice.,2026-06-15,,2026-08-14,Education Department,Docket No.: ED-2026-SCC-2179,https://www.federalregister.gov/documents/2026/06/15/2026-12002/agency-information-collection-activities-comment-request-talent-search-ts-annual-performance-report,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-12002.pdf,True
2026-12001,"Welded Line Pipe From the Republic of Korea: Preliminary Results and Rescission, in Part, of Antidumping Duty Administrative Review; 2023-2024",Notice,,2026-06-15,,,Commerce Department; International Trade Administration,A-580-876,https://www.federalregister.gov/documents/2026/06/15/2026-12001/welded-line-pipe-from-the-republic-of-korea-preliminary-results-and-rescission-in-part-of,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-12001.pdf,True
2026-12000,Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Comment Request; Teacher Cancellation Low Income Directory,Notice,Notice.,2026-06-15,,2026-07-15,Education Department,Docket No.: ED-2026-SCC-0596,https://www.federalregister.gov/documents/2026/06/15/2026-12000/agency-information-collection-activities-submission-to-the-office-of-management-and-budget-for,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-12000.pdf,True
2026-11999,Center for Scientific Review; Amended Notice of Meeting,Notice,,2026-06-15,,,Health and Human Services Department; National Institutes of Health,,https://www.federalregister.gov/documents/2026/06/15/2026-11999/center-for-scientific-review-amended-notice-of-meeting,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11999.pdf,True
2026-11998,Amendment and Revocation of Organizational Information Regulations,Rule,Final rule.,2026-06-15,2026-06-15,,Health and Human Services Department; Food and Drug Administration,Docket No. FDA-2026-N-6404,https://www.federalregister.gov/documents/2026/06/15/2026-11998/amendment-and-revocation-of-organizational-information-regulations,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11998.pdf,True
2026-11997,"Order Granting Temporary Exemptive Relief, Pursuant to Section 36(a)(1) of the Securities Exchange Act of 1934 and Rules 610(f) and 612(d) of Regulation NMS, from Compliance With Rule 600(b)(89)(i)(F), Rule 610(c) and Rule 612 of Regulation NMS, as Amended",Notice,,2026-06-15,,,Securities and Exchange Commission,Release No. 34-105656,https://www.federalregister.gov/documents/2026/06/15/2026-11997/order-granting-temporary-exemptive-relief-pursuant-to-section-36a1-of-the-securities-exchange-act-of,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11997.pdf,True
2026-11996,"Government Owned Inventions Available for License: 4-Amino-2-(Piperidin-3-yl)Isoindoline-1,3-Diones as Anti-Inflammatory Agents for Systemic Degenerative and Neurodegenerative Disorders",Notice,Notice.,2026-06-15,,,Health and Human Services Department; National Institutes of Health,,https://www.federalregister.gov/documents/2026/06/15/2026-11996/government-owned-inventions-available-for-license-4-amino-2-piperidin-3-ylisoindoline-13-diones-as,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11996.pdf,True
2026-11995,Agency Information Collection Activities; Comment Request; Information Collections: Requests To Approve Conformed Wage Classifications and Unconventional Fringe Benefit Plans Under the Davis-Bacon and Related Acts and Contract Work Hours and Safety Standards Act,Notice,Notice.,2026-06-15,,2026-08-14,Labor Department; Wage and Hour Division,Docket No. WHD-2026-0034,https://www.federalregister.gov/documents/2026/06/15/2026-11995/agency-information-collection-activities-comment-request-information-collections-requests-to-approve,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11995.pdf,True
2026-11994,Request for Information; Comprehensive Review of the Essential Health Benefits Framework and Typical Employer Plan Standard,Proposed Rule,Request for information.,2026-06-15,,2026-07-15,Health and Human Services Department,CMS-9874-NC,https://www.federalregister.gov/documents/2026/06/15/2026-11994/request-for-information-comprehensive-review-of-the-essential-health-benefits-framework-and-typical,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11994.pdf,True
2026-11993,"Security Zone; Santa Monica Bay, Los Angeles, CA",Rule,Temporary final rule.,2026-06-15,2026-06-15,,Homeland Security Department; Coast Guard,Docket Number USCG-2026-0556,https://www.federalregister.gov/documents/2026/06/15/2026-11993/security-zone-santa-monica-bay-los-angeles-ca,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11993.pdf,True
2026-11992,Custer Gallatin National Forest; Montana; Stillwater Mine Complex Amendment 14,Notice,Notice of intent to prepare an environmental impact statement.,2026-06-15,2026-07-15,,Agriculture Department; Forest Service,,https://www.federalregister.gov/documents/2026/06/15/2026-11992/custer-gallatin-national-forest-montana-stillwater-mine-complex-amendment-14,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11992.pdf,True
2026-11991,"Foreign-Trade Zone (FTZ) 114, Notification of Proposed Production Activity; Rainbow Champaign LLC; (Herbicides); Champaign, Illinois",Notice,,2026-06-15,,,Commerce Department; Foreign-Trade Zones Board,B-69-2026,https://www.federalregister.gov/documents/2026/06/15/2026-11991/foreign-trade-zone-ftz-114-notification-of-proposed-production-activity-rainbow-champaign-llc,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11991.pdf,True
2026-11990,"Amendment of Jet Routes J-70 and J-94 and Amendment of Very High Frequency Omnidirectional Range Federal Airways V-30, V-55, V-84, V-170, and V-274 and Revocation of Jet Routes J-547 and J-548 in the Vicinity of Pullman, MI",Rule,Final rule; correction.,2026-06-15,2026-07-09,,Transportation Department; Federal Aviation Administration,Docket No. FAA-2025-5244; Airspace Docket No. 25-AGL-8,https://www.federalregister.gov/documents/2026/06/15/2026-11990/amendment-of-jet-routes-j-70-and-j-94-and-amendment-of-very-high-frequency-omnidirectional-range,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11990.pdf,True
2026-11989,"Agency Information Collection Activities: Proposed Collection: Public Comment Request; Information Collection Request Title: 340B Rebate Model Pilot Program Application, Implementation, and Evaluation, OMB Number 0906-NEW",Notice,Notice.,2026-06-15,,2026-07-15,Health and Human Services Department; Health Resources and Services Administration,,https://www.federalregister.gov/documents/2026/06/15/2026-11989/agency-information-collection-activities-proposed-collection-public-comment-request-information,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11989.pdf,True
2026-11988,"Petition for Exemption; Summary of Petition Received; ASJR Aviation, LLC",Notice,Notice.,2026-06-15,,2026-07-06,Transportation Department; Federal Aviation Administration,Docket No.: FAA-2025-4676; Summary Notice No. 2026-17,https://www.federalregister.gov/documents/2026/06/15/2026-11988/petition-for-exemption-summary-of-petition-received-asjr-aviation-llc,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11988.pdf,True
2026-11987,Fisheries of the Northeastern United States; Northeast Skate Complex; 2026 and Projected 2027 and 2028 Specifications,Rule,Final rule.,2026-06-15,2026-06-15,,Commerce Department; National Oceanic and Atmospheric Administration,260609-0140,https://www.federalregister.gov/documents/2026/06/15/2026-11987/fisheries-of-the-northeastern-united-states-northeast-skate-complex-2026-and-projected-2027-and-2028,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11987.pdf,True
2026-11986,Fisheries of the Northeastern United States; Mid-Atlantic Blueline Tilefish and Golden Tilefish Fisheries; 2026 Specifications,Rule,Final rule.,2026-06-15,2026-06-15,,Commerce Department; National Oceanic and Atmospheric Administration,Docket No. 260609-0139; RTID 0648-XF172,https://www.federalregister.gov/documents/2026/06/15/2026-11986/fisheries-of-the-northeastern-united-states-mid-atlantic-blueline-tilefish-and-golden-tilefish,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11986.pdf,True
2026-11985,Advisory Committee on Appellate Rules; Meeting of the Judicial Conference,Notice,Advisory Committee on Appellate Rules; notice of open meeting.,2026-06-15,,,Judicial Conference of the United States,,https://www.federalregister.gov/documents/2026/06/15/2026-11985/advisory-committee-on-appellate-rules-meeting-of-the-judicial-conference,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11985.pdf,True
2026-11984,Advisory Committee on Civil Rules; Meeting of the Judicial Conference,Notice,Advisory Committee on Civil Rules; notice of open meeting.,2026-06-15,,,Judicial Conference of the United States,,https://www.federalregister.gov/documents/2026/06/15/2026-11984/advisory-committee-on-civil-rules-meeting-of-the-judicial-conference,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11984.pdf,True
2026-11983,Advisory Committee on Bankruptcy Rules; Meeting of the Judicial Conference,Notice,Advisory Committee on Bankruptcy Rules; notice of open meeting.,2026-06-15,,,Judicial Conference of the United States,,https://www.federalregister.gov/documents/2026/06/15/2026-11983/advisory-committee-on-bankruptcy-rules-meeting-of-the-judicial-conference,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11983.pdf,True
2026-11982,Advisory Committee on Evidence Rules; Meeting of the Judicial Conference,Notice,Advisory Committee on Evidence Rules; notice of open meeting.,2026-06-15,,,Judicial Conference of the United States,,https://www.federalregister.gov/documents/2026/06/15/2026-11982/advisory-committee-on-evidence-rules-meeting-of-the-judicial-conference,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11982.pdf,True
2026-11981,Advisory Committee on Criminal Rules; Meeting of the Judicial Conference,Notice,Advisory Committee on Criminal Rules; notice of open meeting.,2026-06-15,,,Judicial Conference of the United States,,https://www.federalregister.gov/documents/2026/06/15/2026-11981/advisory-committee-on-criminal-rules-meeting-of-the-judicial-conference,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11981.pdf,True
2026-11980,Administrative Declaration of an Economic Injury Disaster for the State of Rhode Island,Notice,Notice.,2026-06-15,,,Small Business Administration,Disaster Declaration #21640; Rhode Island Disaster Number RI-20005 Declaration of Economic Injury,https://www.federalregister.gov/documents/2026/06/15/2026-11980/administrative-declaration-of-an-economic-injury-disaster-for-the-state-of-rhode-island,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11980.pdf,True
2026-11979,"Formations of, Acquisitions by, and Mergers of Bank Holding Companies",Notice,,2026-06-15,,,Federal Reserve System,,https://www.federalregister.gov/documents/2026/06/15/2026-11979/formations-of-acquisitions-by-and-mergers-of-bank-holding-companies,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11979.pdf,True
2026-11978,Change in Bank Control Notices; Acquisitions of Shares of a Bank or Bank Holding Company,Notice,,2026-06-15,,,Federal Reserve System,,https://www.federalregister.gov/documents/2026/06/15/2026-11978/change-in-bank-control-notices-acquisitions-of-shares-of-a-bank-or-bank-holding-company,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11978.pdf,True
2026-11977,Sunshine Act Meetings,Notice,,2026-06-15,,,Nuclear Regulatory Commission,NRC-2026-0001,https://www.federalregister.gov/documents/2026/06/15/2026-11977/sunshine-act-meetings,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11977.pdf,True
2026-11976,"Airworthiness Directives; Bombardier, Inc., Airplanes",Rule,Final rule.,2026-06-15,2026-07-20,,Transportation Department; Federal Aviation Administration,Docket No. FAA-2026-2279; Project Identifier MCAI-2025-01379-T; Amendment 39-23368; AD 2026-11-07,https://www.federalregister.gov/documents/2026/06/15/2026-11976/airworthiness-directives-bombardier-inc-airplanes,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11976.pdf,True
2026-11975,Airworthiness Directives; Airbus SAS Airplanes,Rule,Final rule.,2026-06-15,2026-07-20,,Transportation Department; Federal Aviation Administration,Docket No. FAA-2026-3473; Project Identifier MCAI-2025-01221-T; Amendment 39-23375; AD 2026-12-05,https://www.federalregister.gov/documents/2026/06/15/2026-11975/airworthiness-directives-airbus-sas-airplanes,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11975.pdf,True
2026-11974,Airworthiness Directives; The Boeing Company Airplanes,Rule,Final rule.,2026-06-15,2026-07-20,,Transportation Department; Federal Aviation Administration,Docket No. FAA-2025-3426; Project Identifier AD-2025-00342-T; Amendment 39-23377; AD 2026-12-07,https://www.federalregister.gov/documents/2026/06/15/2026-11974/airworthiness-directives-the-boeing-company-airplanes,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11974.pdf,True
2026-11973,Implementing Regulation for National Environmental Policy Act (NEPA): Environmental Effects of the Department of Veterans Affairs Actions,Rule,Interim final rule.,2026-06-15,2026-06-15,2026-07-15,Veterans Affairs Department,,https://www.federalregister.gov/documents/2026/06/15/2026-11973/implementing-regulation-for-national-environmental-policy-act-nepa-environmental-effects-of-the,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11973.pdf,True
2026-11972,National Vaccine Injury Compensation Program; List of Petitions Received,Notice,Notice.,2026-06-15,,,Health and Human Services Department; Health Resources and Services Administration,,https://www.federalregister.gov/documents/2026/06/15/2026-11972/national-vaccine-injury-compensation-program-list-of-petitions-received,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11972.pdf,True
2026-11971,Energy Conservation Program: Energy Conservation Standards for Distribution Transformers,Proposed Rule,Request for information.,2026-06-15,,2026-07-15,Energy Department,EERE-2026-BT-STD-0133,https://www.federalregister.gov/documents/2026/06/15/2026-11971/energy-conservation-program-energy-conservation-standards-for-distribution-transformers,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11971.pdf,True
2026-11970,Wilderness Administration and Resource Stewardship; Managing Climbing Activities in Wilderness,Notice,Notice of availability; request for public comment.,2026-06-15,,2026-08-14,Interior Department; Fish and Wildlife Service,Docket No. FWS-HQ-NWRS-2026-1618; FXRS12610900000-267-FF09R20000,https://www.federalregister.gov/documents/2026/06/15/2026-11970/wilderness-administration-and-resource-stewardship-managing-climbing-activities-in-wilderness,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11970.pdf,True
2026-11969,Administrative Declaration of a Disaster for the State of Illinois,Notice,Notice.,2026-06-15,,,Small Business Administration,Disaster Declaration #21642 and #21643; ILLINOIS Disaster Number IL-20026,https://www.federalregister.gov/documents/2026/06/15/2026-11969/administrative-declaration-of-a-disaster-for-the-state-of-illinois,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11969.pdf,True
2026-11968,Projects Approved for Consumptive Uses of Water,Notice,Notice.,2026-06-15,,,Susquehanna River Basin Commission,,https://www.federalregister.gov/documents/2026/06/15/2026-11968/projects-approved-for-consumptive-uses-of-water,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11968.pdf,True
2026-11967,"Actions Taken at the June 4, 2026 Meeting",Notice,Notice.,2026-06-15,,,Susquehanna River Basin Commission,,https://www.federalregister.gov/documents/2026/06/15/2026-11967/actions-taken-at-the-june-4-2026-meeting,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11967.pdf,True
2026-11966,Forms FDA 3542a and FDA 3542: Questions and Answers; Draft Guidance for Industry; Availability,Notice,Notice of availability.,2026-06-15,,2026-08-14,Health and Human Services Department; Food and Drug Administration,Docket No. FDA-2026-D-2698,https://www.federalregister.gov/documents/2026/06/15/2026-11966/forms-fda-3542a-and-fda-3542-questions-and-answers-draft-guidance-for-industry-availability,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11966.pdf,True
2026-11965,Airworthiness Directives; Rolls-Royce Deutschland Ltd & Co KG Engines,Rule,Final rule; request for comments.,2026-06-15,2026-06-30,2025-07-30,Transportation Department; Federal Aviation Administration,Docket No. FAA-2026-4655; Project Identifier MCAI-2025-01553-E; Amendment 39-23376; AD 2026-12-06,https://www.federalregister.gov/documents/2026/06/15/2026-11965/airworthiness-directives-rolls-royce-deutschland-ltd-and-co-kg-engines,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11965.pdf,True
2026-11964,Combined Notice of Filings #1,Notice,,2026-06-15,,,Energy Department; Federal Energy Regulatory Commission,,https://www.federalregister.gov/documents/2026/06/15/2026-11964/combined-notice-of-filings-1,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11964.pdf,True
2026-11963,Commodity Matchbooks From India; Determinations,Notice,,2026-06-15,,,International Trade Commission,Investigation Nos. 701-TA-459 and 731-TA-1155 (Third Review),https://www.federalregister.gov/documents/2026/06/15/2026-11963/commodity-matchbooks-from-india-determinations,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11963.pdf,True
2026-11962,Combined Notice of Filings,Notice,,2026-06-15,,,Energy Department; Federal Energy Regulatory Commission,,https://www.federalregister.gov/documents/2026/06/15/2026-11962/combined-notice-of-filings,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11962.pdf,True
2026-11961,Information Collection Being Reviewed by the Federal Communications Commission,Notice,Notice; request for comments.,2026-06-15,,2026-08-14,Federal Communications Commission,OMB 3060-1248; FR ID 350700,https://www.federalregister.gov/documents/2026/06/15/2026-11961/information-collection-being-reviewed-by-the-federal-communications-commission,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11961.pdf,True
2026-11960,Takes of Marine Mammals Incidental to Specified Activities; Taking Marine Mammals Incidental to the City of Kodiak St. Herman Harbor Infrastructure Rebuild Project,Notice,Notice; issuance of two incidental harassment authorizations.,2026-06-15,,,Commerce Department; National Oceanic and Atmospheric Administration,RTID 0648-XF676,https://www.federalregister.gov/documents/2026/06/15/2026-11960/takes-of-marine-mammals-incidental-to-specified-activities-taking-marine-mammals-incidental-to-the,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11960.pdf,True
2026-11959,EXPLORE Act Mandated Wilderness Climbing Guidance for National Park Service,Notice,Notice of availability; request for comments.,2026-06-15,,2026-08-14,Interior Department; National Park Service,"NPS-WASO-VRP-WS-NPS41952; Docket No. NPS-2026-0101; PPWOVPADW0, PPMPRLE1Y.Y00000, 266P103601",https://www.federalregister.gov/documents/2026/06/15/2026-11959/explore-act-mandated-wilderness-climbing-guidance-for-national-park-service,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11959.pdf,True
2026-11958,National Park Service Level 2 Wilderness Stewardship Policy Review: Director's Order #41,Notice,Notice of availability; request for comments.,2026-06-15,,2026-08-14,Interior Department; National Park Service,"NPS-WASO-VRP-WS; Docket No. NPS-2026-0100; PPWOVPADW0, PPMPRLE1Y.Y00000, 266P103601",https://www.federalregister.gov/documents/2026/06/15/2026-11958/national-park-service-level-2-wilderness-stewardship-policy-review-directors-order-41,https://www.govinfo.gov/content/pkg/FR-2026-06-15/pdf/2026-11958.pdf,True
