document_number,title,type,action,publication_date,effective_on,comments_close_on,agencies,docket_ids,html_url,pdf_url,has_full_text
2026-15658,Continuation of the National Emergency With Respect to Lebanon,Presidential Document,,2026-07-31,,,Executive Office of the President,,https://www.federalregister.gov/documents/2026/07/31/2026-15658/continuation-of-the-national-emergency-with-respect-to-lebanon,https://www.govinfo.gov/content/pkg/FR-2026-07-31/pdf/2026-15658.pdf,True
2026-15605,Qualification and Certification of Locomotive Engineers and Conductors; English Language Proficiency and Other Requirements,Proposed Rule,Notice of proposed rulemaking (NPRM).,2026-07-31,,2026-09-29,Transportation Department; Federal Railroad Administration,Docket No. FRA-2026-2014; Notice No. 1,https://www.federalregister.gov/documents/2026/07/31/2026-15605/qualification-and-certification-of-locomotive-engineers-and-conductors-english-language-proficiency,https://www.govinfo.gov/content/pkg/FR-2026-07-31/pdf/2026-15605.pdf,True
2026-15603,"Amendment of United States Area Navigation Routes (RNAV) T-285 and T-286 in the Vicinity of Thedford, NE",Rule,Final rule.,2026-07-31,2026-10-29,,Transportation Department; Federal Aviation Administration,Docket No. FAA-2026-2905; Airspace Docket No. 25-ANM-164,https://www.federalregister.gov/documents/2026/07/31/2026-15603/amendment-of-united-states-area-navigation-routes-rnav-t-285-and-t-286-in-the-vicinity-of-thedford,https://www.govinfo.gov/content/pkg/FR-2026-07-31/pdf/2026-15603.pdf,True
2026-15602,"Amendment of Jet Route J-24 and Very High Frequency Omnidirectional Range Federal Airways V-244, V-508 and Revocation of Very High Frequency Omnidirectional Range Federal Airway V-255 in the Vicinity of Hays, Kansas.",Proposed Rule,Notice of proposed rulemaking (NPRM).,2026-07-31,,2026-09-14,Transportation Department; Federal Aviation Administration,Docket No. FAA-2026-8291; Airspace Docket No. 25-ACE-4,https://www.federalregister.gov/documents/2026/07/31/2026-15602/amendment-of-jet-route-j-24-and-very-high-frequency-omnidirectional-range-federal-airways-v-244,https://www.govinfo.gov/content/pkg/FR-2026-07-31/pdf/2026-15602.pdf,True
2026-15601,Modernization of the Nation's Alerting Systems; Protecting the Nation's Communications Systems From Cybersecurity Threats,Rule,Final rule.,2026-07-31,2026-09-29,,Federal Communications Commission,"PS Docket Nos. 22-329, 25-224; FCC 26-38; FR ID 359234",https://www.federalregister.gov/documents/2026/07/31/2026-15601/modernization-of-the-nations-alerting-systems-protecting-the-nations-communications-systems-from,https://www.govinfo.gov/content/pkg/FR-2026-07-31/pdf/2026-15601.pdf,True
2026-15600,Wireless Emergency Alerts; The Emergency Alert System; Modernization of the Nation's Alerting Systems,Proposed Rule,Proposed rule.,2026-07-31,2026-08-31,2026-09-29,Federal Communications Commission,"PS Docket Nos. 15-91, 15-94, 25-224; FCC-26-38; FR ID 359294",https://www.federalregister.gov/documents/2026/07/31/2026-15600/wireless-emergency-alerts-the-emergency-alert-system-modernization-of-the-nations-alerting-systems,https://www.govinfo.gov/content/pkg/FR-2026-07-31/pdf/2026-15600.pdf,True
2026-15599,"Amendment of United States Area Navigation Route T-388 in the Vicinity of Kodiak, Alaska",Rule,Final rule.,2026-07-31,2026-10-29,,Transportation Department; Federal Aviation Administration,Docket No. FAA-2026-0826; Airspace Docket No. 25-AAL-162,https://www.federalregister.gov/documents/2026/07/31/2026-15599/amendment-of-united-states-area-navigation-route-t-388-in-the-vicinity-of-kodiak-alaska,https://www.govinfo.gov/content/pkg/FR-2026-07-31/pdf/2026-15599.pdf,True
2026-15598,Upper C-Band (3.98-4.2 GHz); Expanding Flexible Use of the 3.7 to 4.2 GHz Band,Rule,Final rule.,2026-07-31,2026-09-29,,Federal Communications Commission,GN Docket Nos. 18-122 and 25-59; FCC 26-46; FR ID 359523,https://www.federalregister.gov/documents/2026/07/31/2026-15598/upper-c-band-398-42-ghz-expanding-flexible-use-of-the-37-to-42-ghz-band,https://www.govinfo.gov/content/pkg/FR-2026-07-31/pdf/2026-15598.pdf,True
2026-15597,FLSA Claims and Compliance,Rule,Direct final rule.,2026-07-31,2026-09-29,2026-08-31,Personnel Management Office,Docket ID: OPM-2026-0467,https://www.federalregister.gov/documents/2026/07/31/2026-15597/flsa-claims-and-compliance,https://www.govinfo.gov/content/pkg/FR-2026-07-31/pdf/2026-15597.pdf,True
2026-15595,Sunshine Act Meetings,Notice,,2026-07-31,,,Unified Carrier Registration Plan,,https://www.federalregister.gov/documents/2026/07/31/2026-15595/sunshine-act-meetings,https://www.govinfo.gov/content/pkg/FR-2026-07-31/pdf/2026-15595.pdf,True
2026-15593,Agency Information Collection Activities; Submission to the Office of Management and Budget (OMB) for Review and Approval; Comment Request; North Pacific Fishery Management Council Cooperative Annual Reports,Notice,,2026-07-31,,,Commerce Department; National Oceanic and Atmospheric Administration,,https://www.federalregister.gov/documents/2026/07/31/2026-15593/agency-information-collection-activities-submission-to-the-office-of-management-and-budget-omb-for,https://www.govinfo.gov/content/pkg/FR-2026-07-31/pdf/2026-15593.pdf,True
2026-15592,Sunshine Act Meetings,Notice,,2026-07-31,,,Nuclear Regulatory Commission,NRC-2026-0001,https://www.federalregister.gov/documents/2026/07/31/2026-15592/sunshine-act-meetings,https://www.govinfo.gov/content/pkg/FR-2026-07-31/pdf/2026-15592.pdf,True
2026-15590,"Agency Information Collection Activities; Proposed eCollection eComments Requested; Revision of a Previously Approved Collection, Title-Office for Victims of Crime Training and Technical Assistance Center (OVC TTAC) Feedback Form Package",Notice,30-Day notice.,2026-07-31,,2026-08-31,Justice Department,OMB Number 1121-0341,https://www.federalregister.gov/documents/2026/07/31/2026-15590/agency-information-collection-activities-proposed-ecollection-ecomments-requested-revision-of-a,https://www.govinfo.gov/content/pkg/FR-2026-07-31/pdf/2026-15590.pdf,True
2026-15589,Procedures for Settling Claims,Rule,Direct final rule.,2026-07-31,2026-09-29,2026-08-31,Personnel Management Office,Docket ID: OPM-2026-0364,https://www.federalregister.gov/documents/2026/07/31/2026-15589/procedures-for-settling-claims,https://www.govinfo.gov/content/pkg/FR-2026-07-31/pdf/2026-15589.pdf,True
2026-15588,Medicare Program; FY 2027 Inpatient Psychiatric Facilities Prospective Payment System-Rate Update,Rule,Final rule.,2026-07-31,2026-10-01,,Health and Human Services Department; Centers for Medicare & Medicaid Services,CMS-1847-F,https://www.federalregister.gov/documents/2026/07/31/2026-15588/medicare-program-fy-2027-inpatient-psychiatric-facilities-prospective-payment-system-rate-update,https://www.govinfo.gov/content/pkg/FR-2026-07-31/pdf/2026-15588.pdf,True
2026-15587,Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Comment Request; Public Service Loan Forgiveness Reconsideration Request,Notice,Notice.,2026-07-31,,2026-08-31,Education Department,Docket No.: ED-2026-SCC-1915,https://www.federalregister.gov/documents/2026/07/31/2026-15587/agency-information-collection-activities-submission-to-the-office-of-management-and-budget-for,https://www.govinfo.gov/content/pkg/FR-2026-07-31/pdf/2026-15587.pdf,True
2026-15586,Removal of References to the Uniform Guidelines on Employee Selection Procedures in Federal Personnel Regulations,Rule,Interim final rule; request for comments.,2026-07-31,2026-07-31,,Personnel Management Office,Docket ID: OPM-2026-0595,https://www.federalregister.gov/documents/2026/07/31/2026-15586/removal-of-references-to-the-uniform-guidelines-on-employee-selection-procedures-in-federal,https://www.govinfo.gov/content/pkg/FR-2026-07-31/pdf/2026-15586.pdf,True
2026-15585,Requirements for Interference-Tolerant Radio Altimeter Systems,Rule,Final rule.,2026-07-31,2026-09-29,,Transportation Department; Federal Aviation Administration,"Docket No.: FAA-2025-5666; Amdt Nos. 91-384, 121-396 and 129-56",https://www.federalregister.gov/documents/2026/07/31/2026-15585/requirements-for-interference-tolerant-radio-altimeter-systems,https://www.govinfo.gov/content/pkg/FR-2026-07-31/pdf/2026-15585.pdf,True
2026-15584,Pipeline Safety: Standards Update-ASTM A53/A53M,Rule,Direct final rule (DFR); confirmation of effective date.,2026-07-31,2027-01-01,,Transportation Department; Pipeline and Hazardous Materials Safety Administration,Docket No. PHMSA-2026-1523,https://www.federalregister.gov/documents/2026/07/31/2026-15584/pipeline-safety-standards-update-astm-a53a53m,https://www.govinfo.gov/content/pkg/FR-2026-07-31/pdf/2026-15584.pdf,True
2026-15583,Pipeline Safety: Standards Update-ASTM A333/A333M,Rule,Direct final rule (DFR); confirmation of effective date.,2026-07-31,2027-01-01,,Transportation Department; Pipeline and Hazardous Materials Safety Administration,Docket No. PHMSA-2026-1525,https://www.federalregister.gov/documents/2026/07/31/2026-15583/pipeline-safety-standards-update-astm-a333a333m,https://www.govinfo.gov/content/pkg/FR-2026-07-31/pdf/2026-15583.pdf,True
2026-15582,Pipeline Safety: Clarifying Hazardous Liquid Pipeline Integrity Management Guidance,Rule,Withdrawal of direct final rule (DFR).,2026-07-31,2026-07-31,,Transportation Department; Pipeline and Hazardous Materials Safety Administration,Docket No. PHMSA-2026-1520,https://www.federalregister.gov/documents/2026/07/31/2026-15582/pipeline-safety-clarifying-hazardous-liquid-pipeline-integrity-management-guidance,https://www.govinfo.gov/content/pkg/FR-2026-07-31/pdf/2026-15582.pdf,True
