document_number,title,type,action,publication_date,effective_on,comments_close_on,agencies,docket_ids,html_url,pdf_url,has_full_text
2026-13726,Revisions to Financial Forms Reporting and Filing Requirements; Correction,Proposed Rule,Notice of proposed rulemaking; correction.,2026-07-07,2026-07-07,,Energy Department; Federal Energy Regulatory Commission,Docket No. RM26-12-000,https://www.federalregister.gov/documents/2026/07/07/2026-13726/revisions-to-financial-forms-reporting-and-filing-requirements-correction,https://www.govinfo.gov/content/pkg/FR-2026-07-07/pdf/2026-13726.pdf,True
2026-13721,"Notice of Lodging of Proposed Consent Decree Under the Comprehensive Environmental Response, Compensation and Liability Act (CERCLA)",Notice,,2026-07-07,,,Justice Department,,https://www.federalregister.gov/documents/2026/07/07/2026-13721/notice-of-lodging-of-proposed-consent-decree-under-the-comprehensive-environmental-response,https://www.govinfo.gov/content/pkg/FR-2026-07-07/pdf/2026-13721.pdf,True
2026-13719,Endangered and Threatened Wildlife and Plants; Threatened Species Status With Section 4(d) Rule for the Kern Canyon Slender Salamander and Endangered Species Status for the Relictual Slender Salamander; Designation of Critical Habitat,Proposed Rule,Proposed rule; revisions and reopening of comment period.,2026-07-07,,2026-08-06,Interior Department; Fish and Wildlife Service,Docket No. FWS-R8-ES-2022-0081; FXES1111090FEDR-267-FF09E21000,https://www.federalregister.gov/documents/2026/07/07/2026-13719/endangered-and-threatened-wildlife-and-plants-threatened-species-status-with-section-4d-rule-for-the,https://www.govinfo.gov/content/pkg/FR-2026-07-07/pdf/2026-13719.pdf,True
2026-13718,Agency Information Collection Activities; Tribal Revenue Allocation Plans,Notice,Notice of information collection; request for comment.,2026-07-07,,2026-09-08,Interior Department; Indian Affairs Bureau,267A2100DD/AAKP300000/A0A501010.000000; OMB Control Number 1076-0152,https://www.federalregister.gov/documents/2026/07/07/2026-13718/agency-information-collection-activities-tribal-revenue-allocation-plans,https://www.govinfo.gov/content/pkg/FR-2026-07-07/pdf/2026-13718.pdf,True
2026-13717,General Conference Committee of the National Poultry Improvement Plan and 47th Biennial Conference,Notice,Notice of meeting.,2026-07-07,,,Agriculture Department; Animal and Plant Health Inspection Service,Docket No. APHIS-2026-0100,https://www.federalregister.gov/documents/2026/07/07/2026-13717/general-conference-committee-of-the-national-poultry-improvement-plan-and-47th-biennial-conference,https://www.govinfo.gov/content/pkg/FR-2026-07-07/pdf/2026-13717.pdf,True
2026-13716,New Animal Drugs; Approval of New Animal Drug Applications; Withdrawal of Approval of New Animal Drug Application; Change of Sponsor,Rule,Final rule; technical amendments.,2026-07-07,2026-07-07,,Health and Human Services Department; Food and Drug Administration,Docket No. FDA-2026-N-0002,https://www.federalregister.gov/documents/2026/07/07/2026-13716/new-animal-drugs-approval-of-new-animal-drug-applications-withdrawal-of-approval-of-new-animal-drug,https://www.govinfo.gov/content/pkg/FR-2026-07-07/pdf/2026-13716.pdf,True
2026-13715,"Performance Appraisal for General Schedule, Prevailing Rate, and Certain Other Employees",Rule,Final rule.,2026-07-07,2026-08-06,,Personnel Management Office,Docket ID: OPM-2025-0273,https://www.federalregister.gov/documents/2026/07/07/2026-13715/performance-appraisal-for-general-schedule-prevailing-rate-and-certain-other-employees,https://www.govinfo.gov/content/pkg/FR-2026-07-07/pdf/2026-13715.pdf,True
2026-13714,Office of the Secretary; Notice of Meeting,Notice,,2026-07-07,,,Health and Human Services Department; National Institutes of Health,,https://www.federalregister.gov/documents/2026/07/07/2026-13714/office-of-the-secretary-notice-of-meeting,https://www.govinfo.gov/content/pkg/FR-2026-07-07/pdf/2026-13714.pdf,True
2026-13713,"Self-Regulatory Organizations; Financial Industry Regulatory Authority, Inc.; Notice of Partial Amendment No. 1 to Proposed Rule Change To Amend FINRA Rule 2210 (Communications With the Public)",Notice,,2026-07-07,,,Securities and Exchange Commission,Release No. 34-105845; File No. SR-FINRA-2026-004,https://www.federalregister.gov/documents/2026/07/07/2026-13713/self-regulatory-organizations-financial-industry-regulatory-authority-inc-notice-of-partial,https://www.govinfo.gov/content/pkg/FR-2026-07-07/pdf/2026-13713.pdf,True
2026-13712,"Self-Regulatory Organizations; Chicago Mercantile Exchange Inc.; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change Relating To Adoption of Chicago Mercantile Exchange's Rules Governing Security Futures Product Listing Standards, Adoption of Chicago Mercantile Exchange Inc.'s Rules Governing Security Futures Adjustments, and Adoption of Chicago Mercantile Exchange Inc.'s Rules Governing Cash-Settled Single Stock Security Futures",Notice,,2026-07-07,,,Securities and Exchange Commission,Release No. 34-105844; File No. SR-CME-2026-002,https://www.federalregister.gov/documents/2026/07/07/2026-13712/self-regulatory-organizations-chicago-mercantile-exchange-inc-notice-of-filing-and-immediate,https://www.govinfo.gov/content/pkg/FR-2026-07-07/pdf/2026-13712.pdf,True
