document_number,title,type,action,publication_date,effective_on,comments_close_on,agencies,docket_ids,html_url,pdf_url,has_full_text
2026-15274,"Actions by the United States in the Investigations Under Section 301 of the Trade Act of 1974 of the Acts, Policies, and Practices of 60 Economies Related to the Failure of Each Economy To Impose and Effectively Enforce a Prohibition on the Importation of Goods Produced With Forced Labor",Presidential Document,,2026-07-28,,,Executive Office of the President,,https://www.federalregister.gov/documents/2026/07/28/2026-15274/actions-by-the-united-states-in-the-investigations-under-section-301-of-the-trade-act-of-1974-of-the,https://www.govinfo.gov/content/pkg/FR-2026-07-28/pdf/2026-15274.pdf,True
2026-15273,Presidential Determination on the Proposed Agreement for Cooperation Between the Government of the United States of America and the Government of the Kingdom of Saudi Arabia Concerning Peaceful Uses of Nuclear Energy,Presidential Document,,2026-07-28,,,Executive Office of the President,,https://www.federalregister.gov/documents/2026/07/28/2026-15273/presidential-determination-on-the-proposed-agreement-for-cooperation-between-the-government-of-the,https://www.govinfo.gov/content/pkg/FR-2026-07-28/pdf/2026-15273.pdf,True
2026-15239,Airworthiness Directives; The Boeing Company Airplanes,Rule,Final rule.,2026-07-28,2026-09-01,,Transportation Department; Federal Aviation Administration,Docket No. FAA-2025-2546; Project Identifier AD-2025-01060-T; Amendment 39-23414; AD 2026-15-02,https://www.federalregister.gov/documents/2026/07/28/2026-15239/airworthiness-directives-the-boeing-company-airplanes,https://www.govinfo.gov/content/pkg/FR-2026-07-28/pdf/2026-15239.pdf,True
2026-15231,Federal Motor Vehicle Safety Standards; Modernization of FMVSS No. 135 To Accommodate ADS-Equipped Vehicles; Extension of Comment Period,Proposed Rule,Extension of comment period.,2026-07-28,2026-06-26,2026-08-26,Transportation Department; National Highway Traffic Safety Administration,Docket No. NHTSA-2026-0728,https://www.federalregister.gov/documents/2026/07/28/2026-15231/federal-motor-vehicle-safety-standards-modernization-of-fmvss-no-135-to-accommodate-ads-equipped,https://www.govinfo.gov/content/pkg/FR-2026-07-28/pdf/2026-15231.pdf,True
2026-15230,Civil Penalties Adjustment for 2026,Rule,Final action.,2026-07-28,2026-07-28,,National Foundation on the Arts and the Humanities; National Endowment for the Arts,,https://www.federalregister.gov/documents/2026/07/28/2026-15230/civil-penalties-adjustment-for-2026,https://www.govinfo.gov/content/pkg/FR-2026-07-28/pdf/2026-15230.pdf,True
2026-15229,"Modification of Class E Airspace, Samaritan North Lincoln Hospital Heliport, Lincoln, OR",Proposed Rule,Notice of proposed rulemaking (NPRM).,2026-07-28,,2026-09-11,Transportation Department; Federal Aviation Administration,Docket No. FAA-2026-5064; Airspace Docket No. 25-ANM-134,https://www.federalregister.gov/documents/2026/07/28/2026-15229/modification-of-class-e-airspace-samaritan-north-lincoln-hospital-heliport-lincoln-or,https://www.govinfo.gov/content/pkg/FR-2026-07-28/pdf/2026-15229.pdf,True
2026-15228,National Institute of Environmental Health Sciences; Amended Notice of Meeting,Notice,,2026-07-28,,,Health and Human Services Department; National Institutes of Health,,https://www.federalregister.gov/documents/2026/07/28/2026-15228/national-institute-of-environmental-health-sciences-amended-notice-of-meeting,https://www.govinfo.gov/content/pkg/FR-2026-07-28/pdf/2026-15228.pdf,True
2026-15227,Benzene,Proposed Rule,Proposed rule; reopening of the rulemaking record.,2026-07-28,,2026-08-27,Labor Department; Occupational Safety and Health Administration,Docket No. OSHA-2025-0023,https://www.federalregister.gov/documents/2026/07/28/2026-15227/benzene,https://www.govinfo.gov/content/pkg/FR-2026-07-28/pdf/2026-15227.pdf,True
2026-15226,Agency Information Collection Activities; Comment Request; Eligible Career Pathway Program,Notice,Notice.,2026-07-28,,2026-09-28,Education Department,Docket No.: ED-2026-SCC-2641,https://www.federalregister.gov/documents/2026/07/28/2026-15226/agency-information-collection-activities-comment-request-eligible-career-pathway-program,https://www.govinfo.gov/content/pkg/FR-2026-07-28/pdf/2026-15226.pdf,True
2026-15225,Name of Information Collection: Automated Technology Licensing Application System (ATLAS),Notice,Revision of a currently approved collection.,2026-07-28,,2026-08-27,National Aeronautics and Space Administration,NASA Document Number: 26-042,https://www.federalregister.gov/documents/2026/07/28/2026-15225/name-of-information-collection-automated-technology-licensing-application-system-atlas,https://www.govinfo.gov/content/pkg/FR-2026-07-28/pdf/2026-15225.pdf,True
