document_number,title,type,action,publication_date,effective_on,comments_close_on,agencies,docket_ids,html_url,pdf_url,has_full_text
2026-12837,Continuation of the National Emergency With Respect to the Western Balkans,Presidential Document,,2026-06-24,,,Executive Office of the President,,https://www.federalregister.gov/documents/2026/06/24/2026-12837/continuation-of-the-national-emergency-with-respect-to-the-western-balkans,https://www.govinfo.gov/content/pkg/FR-2026-06-24/pdf/2026-12837.pdf,True
2026-12836,Continuation of the National Emergency With Respect to North Korea,Presidential Document,,2026-06-24,,,Executive Office of the President,,https://www.federalregister.gov/documents/2026/06/24/2026-12836/continuation-of-the-national-emergency-with-respect-to-north-korea,https://www.govinfo.gov/content/pkg/FR-2026-06-24/pdf/2026-12836.pdf,True
2026-12767,"Establishing the Digital Opportunity Data Collection; Modernizing the FCC Form 477 Data Program; Delete, Delete, Delete",Proposed Rule,Proposed rule.,2026-06-24,,2026-07-24,Federal Communications Commission,"WC Docket Nos. 19-195 and 11-10, GN Docket No. 25-133; FCC 26-33; FR ID 351665",https://www.federalregister.gov/documents/2026/06/24/2026-12767/establishing-the-digital-opportunity-data-collection-modernizing-the-fcc-form-477-data-program,https://www.govinfo.gov/content/pkg/FR-2026-06-24/pdf/2026-12767.pdf,True
2026-12766,"Establishing the Digital Opportunity Data Collection; Modernizing the FCC Form 477 Data Program; Delete, Delete, Delete",Rule,Final rule.,2026-06-24,2026-07-24,,Federal Communications Commission,WC Docket Nos. 19-195 and 11-10; GN Docket No. 25-133; FCC 26-33; FR ID 351664,https://www.federalregister.gov/documents/2026/06/24/2026-12766/establishing-the-digital-opportunity-data-collection-modernizing-the-fcc-form-477-data-program,https://www.govinfo.gov/content/pkg/FR-2026-06-24/pdf/2026-12766.pdf,True
2026-12755,Sunshine Act Meetings,Notice,,2026-06-24,,,Securities and Exchange Commission,,https://www.federalregister.gov/documents/2026/06/24/2026-12755/sunshine-act-meetings,https://www.govinfo.gov/content/pkg/FR-2026-06-24/pdf/2026-12755.pdf,True
2026-12751,Agency Information Collection Activities; Submission to the Office of Management and Budget (OMB) for Review and Approval; Comment Request; West Coast Region Permit Family of Forms,Notice,,2026-06-24,,,Commerce Department; National Oceanic and Atmospheric Administration,,https://www.federalregister.gov/documents/2026/06/24/2026-12751/agency-information-collection-activities-submission-to-the-office-of-management-and-budget-omb-for,https://www.govinfo.gov/content/pkg/FR-2026-06-24/pdf/2026-12751.pdf,True
2026-12750,Enterprise Duty To Serve Underserved Markets,Proposed Rule,Notice of proposed rulemaking; request for comments.,2026-06-24,,2026-07-24,Federal Housing Finance Agency,,https://www.federalregister.gov/documents/2026/06/24/2026-12750/enterprise-duty-to-serve-underserved-markets,https://www.govinfo.gov/content/pkg/FR-2026-06-24/pdf/2026-12750.pdf,True
2026-12749,Safety Standard for Lithium-Ion Batteries Used in Micromobility Products and Electrical Systems of Micromobility Products Containing Such Batteries,Proposed Rule,Notice of proposed rulemaking.,2026-06-24,,2026-08-24,Consumer Product Safety Commission,CPSC Docket No. CPSC-2025-0012,https://www.federalregister.gov/documents/2026/06/24/2026-12749/safety-standard-for-lithium-ion-batteries-used-in-micromobility-products-and-electrical-systems-of,https://www.govinfo.gov/content/pkg/FR-2026-06-24/pdf/2026-12749.pdf,True
2026-12748,Wood Mouldings and Millwork Products From China,Notice,,2026-06-24,,,International Trade Commission,Investigation Nos. 701-TA-636 and 731-TA-1470 (Review),https://www.federalregister.gov/documents/2026/06/24/2026-12748/wood-mouldings-and-millwork-products-from-china,https://www.govinfo.gov/content/pkg/FR-2026-06-24/pdf/2026-12748.pdf,True
2026-12746,Submission for OMB Review; Comment Request,Notice,,2026-06-24,,,Agriculture Department,,https://www.federalregister.gov/documents/2026/06/24/2026-12746/submission-for-omb-review-comment-request,https://www.govinfo.gov/content/pkg/FR-2026-06-24/pdf/2026-12746.pdf,True
