document_number,title,type,action,publication_date,effective_on,comments_close_on,agencies,docket_ids,html_url,pdf_url,has_full_text
2026-14454,Continuation of the National Emergency With Respect to Significant Transnational Criminal Organizations,Presidential Document,,2026-07-16,,,Executive Office of the President,,https://www.federalregister.gov/documents/2026/07/16/2026-14454/continuation-of-the-national-emergency-with-respect-to-significant-transnational-criminal,https://www.govinfo.gov/content/pkg/FR-2026-07-16/pdf/2026-14454.pdf,True
2026-14453,Continuation of the National Emergency With Respect to Hostage-Taking and the Wrongful Detention of United States Nationals Abroad,Presidential Document,,2026-07-16,,,Executive Office of the President,,https://www.federalregister.gov/documents/2026/07/16/2026-14453/continuation-of-the-national-emergency-with-respect-to-hostage-taking-and-the-wrongful-detention-of,https://www.govinfo.gov/content/pkg/FR-2026-07-16/pdf/2026-14453.pdf,True
2026-14452,Regulatory Relief for Certain Stationary Sources To Promote American Chemical Manufacturing Security,Presidential Document,,2026-07-16,,,Executive Office of the President,,https://www.federalregister.gov/documents/2026/07/16/2026-14452/regulatory-relief-for-certain-stationary-sources-to-promote-american-chemical-manufacturing-security,https://www.govinfo.gov/content/pkg/FR-2026-07-16/pdf/2026-14452.pdf,True
2026-14431,Presidential Declaration of a Major Disaster for Public Assistance Only for the Territory of Guam,Notice,Notice.,2026-07-16,,,Small Business Administration,Disaster Declaration #21700 and #21701; GUAM Disaster Number GU-20001,https://www.federalregister.gov/documents/2026/07/16/2026-14431/presidential-declaration-of-a-major-disaster-for-public-assistance-only-for-the-territory-of-guam,https://www.govinfo.gov/content/pkg/FR-2026-07-16/pdf/2026-14431.pdf,True
2026-14391,"Amendment of Class D Airspace and Class E Airspace Over New Bedford, MA",Rule,Final rule.,2026-07-16,2026-10-29,,Transportation Department; Federal Aviation Administration,Docket No. FAA-2026-4819; Airspace Docket No. 26-ANE-2,https://www.federalregister.gov/documents/2026/07/16/2026-14391/amendment-of-class-d-airspace-and-class-e-airspace-over-new-bedford-ma,https://www.govinfo.gov/content/pkg/FR-2026-07-16/pdf/2026-14391.pdf,True
2026-14386,Agency Information Collection Activities; Proposed eCollection eComments Requested; Title-Semi-Annual Progress Report for Grantees From the Tribal Sexual Assault Services Program,Notice,30-Day notice.,2026-07-16,,2026-08-17,Justice Department,OMB Number 1122-0024,https://www.federalregister.gov/documents/2026/07/16/2026-14386/agency-information-collection-activities-proposed-ecollection-ecomments-requested-title-semi-annual,https://www.govinfo.gov/content/pkg/FR-2026-07-16/pdf/2026-14386.pdf,True
2026-14385,Agency Information Collection Activities; Proposed eCollection eComments Requested; Title-Semi-Annual Progress Report for the Technical Assistance Program,Notice,30-Day notice.,2026-07-16,,2026-08-17,Justice Department,OMB Number 1122-0017,https://www.federalregister.gov/documents/2026/07/16/2026-14385/agency-information-collection-activities-proposed-ecollection-ecomments-requested-title-semi-annual,https://www.govinfo.gov/content/pkg/FR-2026-07-16/pdf/2026-14385.pdf,True
2026-14384,Agency Information Collection Activities; Revision of a Currently Approved Collection: Petition for Alien Relative,Notice,60-Day notice.,2026-07-16,,2026-09-14,Homeland Security Department; U.S. Citizenship and Immigration Services,OMB Control Number 1615-0012,https://www.federalregister.gov/documents/2026/07/16/2026-14384/agency-information-collection-activities-revision-of-a-currently-approved-collection-petition-for,https://www.govinfo.gov/content/pkg/FR-2026-07-16/pdf/2026-14384.pdf,True
2026-14383,Endangered Species; File No. 29736,Notice,Notice; receipt of application.,2026-07-16,,2026-08-17,Commerce Department; National Oceanic and Atmospheric Administration,RTID 0648-XF867,https://www.federalregister.gov/documents/2026/07/16/2026-14383/endangered-species-file-no-29736,https://www.govinfo.gov/content/pkg/FR-2026-07-16/pdf/2026-14383.pdf,True
2026-14382,Submission for OMB Review; Comment Request,Notice,,2026-07-16,,,Agriculture Department,,https://www.federalregister.gov/documents/2026/07/16/2026-14382/submission-for-omb-review-comment-request,https://www.govinfo.gov/content/pkg/FR-2026-07-16/pdf/2026-14382.pdf,True
2026-14381,International Whaling Commission; 70th Meeting; Announcement of Public Meeting,Notice,Notice of public meeting.,2026-07-16,,,Commerce Department; National Oceanic and Atmospheric Administration,RTID 0648-XF884,https://www.federalregister.gov/documents/2026/07/16/2026-14381/international-whaling-commission-70th-meeting-announcement-of-public-meeting,https://www.govinfo.gov/content/pkg/FR-2026-07-16/pdf/2026-14381.pdf,True
2026-14380,"Fisheries of the Gulf of America; Southeast Data, Assessment, and Review; Public Meeting",Notice,Notice of webinar.,2026-07-16,,,Commerce Department; National Oceanic and Atmospheric Administration,RTID 0648-XF880,https://www.federalregister.gov/documents/2026/07/16/2026-14380/fisheries-of-the-gulf-of-america-southeast-data-assessment-and-review-public-meeting,https://www.govinfo.gov/content/pkg/FR-2026-07-16/pdf/2026-14380.pdf,True
2026-14379,Sunshine Act Meetings,Notice,,2026-07-16,,,Securities and Exchange Commission,,https://www.federalregister.gov/documents/2026/07/16/2026-14379/sunshine-act-meetings,https://www.govinfo.gov/content/pkg/FR-2026-07-16/pdf/2026-14379.pdf,True
2026-14378,Renewal of Department of Defense Federal Advisory Committee-National Security Education Board,Notice,Renewal of Federal advisory committee.,2026-07-16,,,Defense Department; ,,https://www.federalregister.gov/documents/2026/07/16/2026-14378/renewal-of-department-of-defense-federal-advisory-committee-national-security-education-board,https://www.govinfo.gov/content/pkg/FR-2026-07-16/pdf/2026-14378.pdf,True
2026-14377,"Renewal of Department of Defense Federal Advisory Committee-Board of Regents, Uniformed Services University of the Health Sciences",Notice,Renewal of Federal advisory committee.,2026-07-16,,,Defense Department; ,,https://www.federalregister.gov/documents/2026/07/16/2026-14377/renewal-of-department-of-defense-federal-advisory-committee-board-of-regents-uniformed-services,https://www.govinfo.gov/content/pkg/FR-2026-07-16/pdf/2026-14377.pdf,True
2026-14376,Privacy Act of 1974; System of Records,Notice,Rescindment of a System of Records Notice (SORNs).,2026-07-16,2026-08-17,,Defense Department; ,Docket ID: DoD-2026-OS-1552,https://www.federalregister.gov/documents/2026/07/16/2026-14376/privacy-act-of-1974-system-of-records,https://www.govinfo.gov/content/pkg/FR-2026-07-16/pdf/2026-14376.pdf,True
2026-14375,South Atlantic Fishery Management Council (Council)-Public Meetings,Notice,Notice of public hearings.,2026-07-16,,,Commerce Department; National Oceanic and Atmospheric Administration,RTID 0648-XF897,https://www.federalregister.gov/documents/2026/07/16/2026-14375/south-atlantic-fishery-management-council-council-public-meetings,https://www.govinfo.gov/content/pkg/FR-2026-07-16/pdf/2026-14375.pdf,True
2026-14374,Notice of Proposals To Engage in or To Acquire Companies Engaged in Permissible Nonbanking Activities,Notice,,2026-07-16,,,Federal Reserve System,,https://www.federalregister.gov/documents/2026/07/16/2026-14374/notice-of-proposals-to-engage-in-or-to-acquire-companies-engaged-in-permissible-nonbanking,https://www.govinfo.gov/content/pkg/FR-2026-07-16/pdf/2026-14374.pdf,True
2026-14373,"Formations of, Acquisitions by, and Mergers of Bank Holding Companies",Notice,,2026-07-16,,,Federal Reserve System,,https://www.federalregister.gov/documents/2026/07/16/2026-14373/formations-of-acquisitions-by-and-mergers-of-bank-holding-companies,https://www.govinfo.gov/content/pkg/FR-2026-07-16/pdf/2026-14373.pdf,True
2026-14372,Change in Bank Control Notices; Acquisitions of Shares of a Bank or Bank Holding Company,Notice,,2026-07-16,,,Federal Reserve System,,https://www.federalregister.gov/documents/2026/07/16/2026-14372/change-in-bank-control-notices-acquisitions-of-shares-of-a-bank-or-bank-holding-company,https://www.govinfo.gov/content/pkg/FR-2026-07-16/pdf/2026-14372.pdf,True
2026-14371,New Source Performance Standards Review for Stationary Combustion Turbines and Stationary Gas Turbines; Correction,Rule,Correcting amendments.,2026-07-16,2026-08-17,,Environmental Protection Agency,EPA-HQ-OAR-2024-0419; FRL-11542.1-02-OAR,https://www.federalregister.gov/documents/2026/07/16/2026-14371/new-source-performance-standards-review-for-stationary-combustion-turbines-and-stationary-gas,https://www.govinfo.gov/content/pkg/FR-2026-07-16/pdf/2026-14371.pdf,True
2026-14370,Gulf Fishery Management Council; Public Meetings,Notice,Notice; public hearings and webinars.,2026-07-16,,2026-08-17,Commerce Department; National Oceanic and Atmospheric Administration,RTID 0648-XF875,https://www.federalregister.gov/documents/2026/07/16/2026-14370/gulf-fishery-management-council-public-meetings,https://www.govinfo.gov/content/pkg/FR-2026-07-16/pdf/2026-14370.pdf,True
2026-14369,Fisheries of the Northeastern United States; Summer Flounder Fishery; Quota Transfer From North Carolina to Virginia,Rule,Temporary rule; quota transfer.,2026-07-16,2026-07-15,,Commerce Department; National Oceanic and Atmospheric Administration,Docket No. 260209-0039; RTID 0648-XF890,https://www.federalregister.gov/documents/2026/07/16/2026-14369/fisheries-of-the-northeastern-united-states-summer-flounder-fishery-quota-transfer-from-north,https://www.govinfo.gov/content/pkg/FR-2026-07-16/pdf/2026-14369.pdf,True
2026-14368,Privacy Act of 1974; Implementation,Rule,Final rule.,2026-07-16,2026-08-17,,Defense Department; ,Docket ID: DoD-2024-OS-0112,https://www.federalregister.gov/documents/2026/07/16/2026-14368/privacy-act-of-1974-implementation,https://www.govinfo.gov/content/pkg/FR-2026-07-16/pdf/2026-14368.pdf,True
2026-14367,Notice of Intent; Anchorage Terminal Area Airspace and Procedures Study Notice of Intent for Preparation for an Environmental Assessment.,Notice,Notice of Intent (NOI) for the Commencement of the Anchorage Terminal Area Airspace and Procedures Study (ATAAPS) Environmental Assessment (EA) UIN EAXX-021-12-WSC-1768398367.,2026-07-16,,,Transportation Department; Federal Aviation Administration,FAA-2026-7459,https://www.federalregister.gov/documents/2026/07/16/2026-14367/notice-of-intent-anchorage-terminal-area-airspace-and-procedures-study-notice-of-intent-for,https://www.govinfo.gov/content/pkg/FR-2026-07-16/pdf/2026-14367.pdf,True
2026-14366,Atlantic Highly Migratory Species; Atlantic Bluefin Tuna Fisheries; Harpoon Category Quota Transfer,Rule,Temporary rule; quota transfer.,2026-07-16,2026-07-14,,Commerce Department; National Oceanic and Atmospheric Administration,Docket No. 220919-0193; RTID 0648-XF881,https://www.federalregister.gov/documents/2026/07/16/2026-14366/atlantic-highly-migratory-species-atlantic-bluefin-tuna-fisheries-harpoon-category-quota-transfer,https://www.govinfo.gov/content/pkg/FR-2026-07-16/pdf/2026-14366.pdf,True
2026-14365,Order Under Sections 362 and 365 of the Public Health Service Act Continuing the Suspension of the Right To Introduce Certain Persons From Countries Where a Quarantinable Communicable Disease Exists,Notice,Notice with comment period.,2026-07-16,2026-07-13,2026-07-31,Health and Human Services Department; Centers for Disease Control and Prevention,Docket No. CDC-2026-0892,https://www.federalregister.gov/documents/2026/07/16/2026-14365/order-under-sections-362-and-365-of-the-public-health-service-act-continuing-the-suspension-of-the,https://www.govinfo.gov/content/pkg/FR-2026-07-16/pdf/2026-14365.pdf,True
2026-14364,Agency Information Collection Activities: Submission for OMB Review; Comment Request,Notice,Notice.,2026-07-16,,2026-08-17,Health and Human Services Department; Centers for Medicare & Medicaid Services,Document Identifier: CMS-10450 and CMS-643,https://www.federalregister.gov/documents/2026/07/16/2026-14364/agency-information-collection-activities-submission-for-omb-review-comment-request,https://www.govinfo.gov/content/pkg/FR-2026-07-16/pdf/2026-14364.pdf,True
2026-14363,Request for Information on Ropeless Fishing; Fisheries of the Northeastern United States and Atlantic Coastal Fisheries Cooperative Management,Notice,Notice; request for information.,2026-07-16,,,Commerce Department; National Oceanic and Atmospheric Administration,RTID 0648-XF749,https://www.federalregister.gov/documents/2026/07/16/2026-14363/request-for-information-on-ropeless-fishing-fisheries-of-the-northeastern-united-states-and-atlantic,https://www.govinfo.gov/content/pkg/FR-2026-07-16/pdf/2026-14363.pdf,True
2026-14362,South Atlantic Fishery Management Council (Council)-Public Meetings,Notice,Notice of a meeting.,2026-07-16,,,Commerce Department; National Oceanic and Atmospheric Administration,RTID 0648-XF896,https://www.federalregister.gov/documents/2026/07/16/2026-14362/south-atlantic-fishery-management-council-council-public-meetings,https://www.govinfo.gov/content/pkg/FR-2026-07-16/pdf/2026-14362.pdf,True
2026-14361,Good Samaritan Remediation Permit for the Bodie Mine Project,Notice,Notice.,2026-07-16,,2026-08-17,Environmental Protection Agency,EPA-HQ-OLEM-2026-3103; FRL-13427-01-OLEM,https://www.federalregister.gov/documents/2026/07/16/2026-14361/good-samaritan-remediation-permit-for-the-bodie-mine-project,https://www.govinfo.gov/content/pkg/FR-2026-07-16/pdf/2026-14361.pdf,True
