document_number,title,type,action,publication_date,effective_on,comments_close_on,agencies,docket_ids,html_url,pdf_url,has_full_text
2026-13999,Facilitating Implementation of Next Generation 911 Services (NG911); Improving 911 Reliability,Proposed Rule,Proposed rule.,2026-07-10,,2026-08-10,Federal Communications Commission,"PS Docket Nos. 21-479 and 13-75, FCC 26-39; FR ID 355739",https://www.federalregister.gov/documents/2026/07/10/2026-13999/facilitating-implementation-of-next-generation-911-services-ng911-improving-911-reliability,https://www.govinfo.gov/content/pkg/FR-2026-07-10/pdf/2026-13999.pdf,True
2026-13998,Facilitating Implementation of Next Generation 911 Services (NG911); Improving 911 Reliability,Rule,Final rule.,2026-07-10,2026-08-10,,Federal Communications Commission,"PS Docket Nos. 21-479 and 13-75, FCC 26-39; FR ID 355738",https://www.federalregister.gov/documents/2026/07/10/2026-13998/facilitating-implementation-of-next-generation-911-services-ng911-improving-911-reliability,https://www.govinfo.gov/content/pkg/FR-2026-07-10/pdf/2026-13998.pdf,True
2026-13996,Determination of Rates and Terms for Making and Distributing Phonorecords (Phonorecords V),Proposed Rule,Notice of proposed settlement for statutory royalty rates and terms.,2026-07-10,,2026-08-10,Library of Congress; Copyright Royalty Board,Docket No. 25-CRB-0013-PR (2028-2032),https://www.federalregister.gov/documents/2026/07/10/2026-13996/determination-of-rates-and-terms-for-making-and-distributing-phonorecords-phonorecords-v,https://www.govinfo.gov/content/pkg/FR-2026-07-10/pdf/2026-13996.pdf,True
2026-13995,Information Collection Being Submitted for Review and Approval to Office of Management and Budget,Notice,Notice; request for comments.,2026-07-10,,2026-08-10,Federal Communications Commission,OMB 3060-1247; FR ID 355740,https://www.federalregister.gov/documents/2026/07/10/2026-13995/information-collection-being-submitted-for-review-and-approval-to-office-of-management-and-budget,https://www.govinfo.gov/content/pkg/FR-2026-07-10/pdf/2026-13995.pdf,True
2026-13994,Agency Information Collection Activities; Comment Request on Revenue Procedure 2014-49,Notice,Notice of information collection; request for comments.,2026-07-10,,2026-09-08,Treasury Department; Internal Revenue Service,,https://www.federalregister.gov/documents/2026/07/10/2026-13994/agency-information-collection-activities-comment-request-on-revenue-procedure-2014-49,https://www.govinfo.gov/content/pkg/FR-2026-07-10/pdf/2026-13994.pdf,True
2026-13993,Certain Pre-Stretched Synthetic Braiding Hair and Packaging Therefor; Notice of Commission Determination Not To Review an Initial Determination Terminating the Enforcement Proceeding Based on Withdrawal of the Enforcement Complaint; Termination of the Enforcement Proceeding,Notice,Notice.,2026-07-10,,,International Trade Commission,Investigation No. 337-TA-1415 (Enforcement),https://www.federalregister.gov/documents/2026/07/10/2026-13993/certain-pre-stretched-synthetic-braiding-hair-and-packaging-therefor-notice-of-commission,https://www.govinfo.gov/content/pkg/FR-2026-07-10/pdf/2026-13993.pdf,True
2026-13992,"Timothy Genetta, D.O.; Decision and Order",Notice,,2026-07-10,,,Justice Department; Drug Enforcement Administration,,https://www.federalregister.gov/documents/2026/07/10/2026-13992/timothy-genetta-do-decision-and-order,https://www.govinfo.gov/content/pkg/FR-2026-07-10/pdf/2026-13992.pdf,True
2026-13991,"Ruth Jones, D.O.; Decision and Order",Notice,,2026-07-10,,,Justice Department; Drug Enforcement Administration,,https://www.federalregister.gov/documents/2026/07/10/2026-13991/ruth-jones-do-decision-and-order,https://www.govinfo.gov/content/pkg/FR-2026-07-10/pdf/2026-13991.pdf,True
2026-13990,"Mariana Moualem, F.N.P.; Decision and Order",Notice,,2026-07-10,,,Justice Department; Drug Enforcement Administration,,https://www.federalregister.gov/documents/2026/07/10/2026-13990/mariana-moualem-fnp-decision-and-order,https://www.govinfo.gov/content/pkg/FR-2026-07-10/pdf/2026-13990.pdf,True
2026-13989,"Mark Allen, D.D.S.; Decision and Order",Notice,,2026-07-10,,,Justice Department; Drug Enforcement Administration,,https://www.federalregister.gov/documents/2026/07/10/2026-13989/mark-allen-dds-decision-and-order,https://www.govinfo.gov/content/pkg/FR-2026-07-10/pdf/2026-13989.pdf,True
2026-13988,"Frederick Tanzer, M.D.; Decision and Order",Notice,,2026-07-10,,,Justice Department; Drug Enforcement Administration,,https://www.federalregister.gov/documents/2026/07/10/2026-13988/frederick-tanzer-md-decision-and-order,https://www.govinfo.gov/content/pkg/FR-2026-07-10/pdf/2026-13988.pdf,True
2026-13987,Sunshine Act Meetings,Notice,,2026-07-10,,,Nuclear Regulatory Commission,NRC-2026-0001,https://www.federalregister.gov/documents/2026/07/10/2026-13987/sunshine-act-meetings,https://www.govinfo.gov/content/pkg/FR-2026-07-10/pdf/2026-13987.pdf,True
2026-13986,Agency Information Collection Extension,Notice,Notice and request for comments.,2026-07-10,,2026-09-08,Energy Department; Energy Information Administration,,https://www.federalregister.gov/documents/2026/07/10/2026-13986/agency-information-collection-extension,https://www.govinfo.gov/content/pkg/FR-2026-07-10/pdf/2026-13986.pdf,True
2026-13985,National Register of Historic Places; Notification of Pending Nominations and Related Actions,Notice,Notice.,2026-07-10,,2026-07-27,Interior Department; National Park Service,"NPS-WASO-NRNHL-DTS#-43187; PPWOCRADI0, PCU00RP14.R50000",https://www.federalregister.gov/documents/2026/07/10/2026-13985/national-register-of-historic-places-notification-of-pending-nominations-and-related-actions,https://www.govinfo.gov/content/pkg/FR-2026-07-10/pdf/2026-13985.pdf,True
2026-13984,National Register of Historic Places; Notification of Pending Nominations and Related Actions,Notice,Notice.,2026-07-10,,2026-07-27,Interior Department; National Park Service,"NPS-WASO-NRNHL-DTS#-43122; PPWOCRADI0, PCU00RP14.R50000",https://www.federalregister.gov/documents/2026/07/10/2026-13984/national-register-of-historic-places-notification-of-pending-nominations-and-related-actions,https://www.govinfo.gov/content/pkg/FR-2026-07-10/pdf/2026-13984.pdf,True
2026-13983,Airworthiness Directives; Airbus SAS Airplanes,Rule,Final rule.,2026-07-10,2026-08-14,,Transportation Department; Federal Aviation Administration,Docket No. FAA-2026-3481; Project Identifier MCAI-2025-00970-T; Amendment 39-23406; AD 2026-14-05,https://www.federalregister.gov/documents/2026/07/10/2026-13983/airworthiness-directives-airbus-sas-airplanes,https://www.govinfo.gov/content/pkg/FR-2026-07-10/pdf/2026-13983.pdf,True
2026-13982,Airworthiness Directives; Airbus SAS Airplanes,Rule,Final rule.,2026-07-10,2026-08-14,,Transportation Department; Federal Aviation Administration,Docket No. FAA-2026-3480; Project Identifier MCAI-2025-01031-T; Amendment 39-23405; AD 2026-14-04,https://www.federalregister.gov/documents/2026/07/10/2026-13982/airworthiness-directives-airbus-sas-airplanes,https://www.govinfo.gov/content/pkg/FR-2026-07-10/pdf/2026-13982.pdf,True
