document_number,title,type,action,publication_date,effective_on,comments_close_on,agencies,docket_ids,html_url,pdf_url,has_full_text
2026-17553,Airworthiness Directives; The Boeing Company Airplanes,Rule,Final rule.,2026-08-27,2026-10-01,,Transportation Department; Federal Aviation Administration,Docket No. FAA-2026-2295; Project Identifier AD-2025-01361-T; Amendment 39-23445; AD 2026-17-02,https://www.federalregister.gov/documents/2026/08/27/2026-17553/airworthiness-directives-the-boeing-company-airplanes,https://www.govinfo.gov/content/pkg/FR-2026-08-27/pdf/2026-17553.pdf,True
2026-17552,Airworthiness Directives; Airbus SAS Airplanes,Rule,Final rule.,2026-08-27,2026-10-01,,Transportation Department; Federal Aviation Administration,Docket No. FAA-2026-3879; Project Identifier MCAI-2025-01452-T; Amendment 39-23444; AD 2026-17-01,https://www.federalregister.gov/documents/2026/08/27/2026-17552/airworthiness-directives-airbus-sas-airplanes,https://www.govinfo.gov/content/pkg/FR-2026-08-27/pdf/2026-17552.pdf,True
2026-17551,Airworthiness Directives; Airbus SAS Airplanes,Rule,Final rule.,2026-08-27,2026-10-01,,Transportation Department; Federal Aviation Administration,Docket No. FAA-2025-1353; Project Identifier MCAI-2025-00236-T; Amendment 39-23447; AD 2026-17-04,https://www.federalregister.gov/documents/2026/08/27/2026-17551/airworthiness-directives-airbus-sas-airplanes,https://www.govinfo.gov/content/pkg/FR-2026-08-27/pdf/2026-17551.pdf,True
2026-17541,Agency Information Collection Activity Under OMB Review: CFM Stakeholder Feedback Survey,Notice,Notice.,2026-08-27,,2026-09-28,Veterans Affairs Department,OMB Control No. 2900-0931,https://www.federalregister.gov/documents/2026/08/27/2026-17541/agency-information-collection-activity-under-omb-review-cfm-stakeholder-feedback-survey,https://www.govinfo.gov/content/pkg/FR-2026-08-27/pdf/2026-17541.pdf,True
2026-17539,Renewal of the Commission on Social Impact Partnerships,Notice,Notice of charter renewal for the Commission on Social Impact Partnerships.,2026-08-27,,,Treasury Department,,https://www.federalregister.gov/documents/2026/08/27/2026-17539/renewal-of-the-commission-on-social-impact-partnerships,https://www.govinfo.gov/content/pkg/FR-2026-08-27/pdf/2026-17539.pdf,True
2026-17538,Farmer Bridge Assistance (FBA) Program; Correction,Rule,Correcting amendment.,2026-08-27,2026-08-27,,Agriculture Department; Commodity Credit Corporation,Docket ID FSA-2026-0001,https://www.federalregister.gov/documents/2026/08/27/2026-17538/farmer-bridge-assistance-fba-program-correction,https://www.govinfo.gov/content/pkg/FR-2026-08-27/pdf/2026-17538.pdf,True
2026-17536,Schedules of Controlled Substances: Placement of Cipepofol in Schedule IV,Rule,Interim final rule; request for comments.,2026-08-27,2026-08-27,2026-09-28,Justice Department; Drug Enforcement Administration,Docket No. DEA 1713,https://www.federalregister.gov/documents/2026/08/27/2026-17536/schedules-of-controlled-substances-placement-of-cipepofol-in-schedule-iv,https://www.govinfo.gov/content/pkg/FR-2026-08-27/pdf/2026-17536.pdf,True
2026-17535,Center for Scientific Review; Notice of Closed Meetings,Notice,,2026-08-27,,,Health and Human Services Department; National Institutes of Health,,https://www.federalregister.gov/documents/2026/08/27/2026-17535/center-for-scientific-review-notice-of-closed-meetings,https://www.govinfo.gov/content/pkg/FR-2026-08-27/pdf/2026-17535.pdf,True
2026-17533,Report Under Public Law 119-38,Notice,Notice of report.,2026-08-27,,,Justice Department,,https://www.federalregister.gov/documents/2026/08/27/2026-17533/report-under-public-law-119-38,https://www.govinfo.gov/content/pkg/FR-2026-08-27/pdf/2026-17533.pdf,True
2026-17532,Agency Information Collection Activity Under OMB Review: Freedom of Information Act (FOIA) or Privacy Act (PA) Request,Notice,Notice.,2026-08-27,,2026-09-28,Veterans Affairs Department,OMB Control No. 2900-0877,https://www.federalregister.gov/documents/2026/08/27/2026-17532/agency-information-collection-activity-under-omb-review-freedom-of-information-act-foia-or-privacy,https://www.govinfo.gov/content/pkg/FR-2026-08-27/pdf/2026-17532.pdf,True
2026-17531,"Schedules of Controlled Substances: Temporary Placement of 5,6-Dichloro Brorphine, 5,6-Dichloro Desmethylchlorphine, N-Propionitrile Chlorphine, and Spirochlorphine in Schedule I of the Controlled Substances Act",Rule,Temporary amendment; temporary scheduling order.,2026-08-27,2026-08-27,,Justice Department; Drug Enforcement Administration,Docket No. DEA-1665,https://www.federalregister.gov/documents/2026/08/27/2026-17531/schedules-of-controlled-substances-temporary-placement-of-56-dichloro-brorphine-56-dichloro,https://www.govinfo.gov/content/pkg/FR-2026-08-27/pdf/2026-17531.pdf,True
